Review,Date,Stars,Restaurant
Service was very good however quality of food needs improvement - veg curry had a sour taste and tandoori aloo was underdone .. chicken was a overcooked n dry ...,7 months ago, 3 stars ,Gravy_Restaurant
RUn by a group of very humble people and have to say the food the north indian menu here is awesome. A must try for all.,7 months ago, 5 stars ,Gravy_Restaurant
Passed by this restaurant while looking for dinner and decided to give Gravy a try since they had biryani - it was the best decision we’ve ever made! …,7 months ago, 5 stars ,Gravy_Restaurant
"Samuel!!! Omg, you've made our day with that review :) Thank you so much. We're already looking to have you back soon.",7 months ago, 5 stars ,Gravy_Restaurant
The best north Indian food in Singapore and amazing service.,7 months ago, 5 stars ,Gravy_Restaurant
"Thank you Kunal for putting up a review of our restaurant. We're really happy that you liked the food, and look forward to serving you again soon.",8 months ago, 4 stars ,Gravy_Restaurant
,8 months ago, 4 stars ,Gravy_Restaurant
"Hi Claire, thank you for the review :) We're glad you liked the experience at Gravy!",8 months ago, 5 stars ,Gravy_Restaurant
"Service was good at the restaruant. I would recommend their samosa chaat, garlic naan, butter chicken and karahi chicken gravy. The dal makhani (a chef signature dish) was disappointing as it was filled more oil/butter(?)/ghee(?) than …",8 months ago, 4 stars ,Gravy_Restaurant
"Hi Juneeta, thank you for the review! We're happy to know that you liked our service and our food barring the Dal Makhani.

Unfortunately, I think we didn't do a good enough job explaining the dish to you before you ordered. Dal Makhani is essentially our most indulgent dish. We cook dal for hours in ghee, onions, tomatoes, and cream. So, it's definitely very heavy, but only it contains a lot of love :) And, yes, we use ghee and not oil.

The next time you come around, now that we know your preference, we'll be sure to offer less indulgent and lighter dishes :)

For the papadum, it's the lijjat papad served as an accompaniment with our biryani, actually meant for 1 person! If you're looking to get more papadum to share, our friendly staff will be more than happy to provide.

We look forward to serving you at Gravy again soon.",8 months ago, 5 stars ,Gravy_Restaurant
"Really good naan and dishes, and the staff was very friendly and responsive. Just a little on the pricey side and cleanliness can be improved on, but other than that, will come back!",8 months ago, 5 stars ,Gravy_Restaurant
"Hi Min, thank you very much for the positive review on our food and service :)

We're sorry to hear that you feel that we're a little pricey. We really do make an effort to dish out the best quality food and provide the best value for money to all our customers. Therefore, we try our best to ensure our food portions are as generous as possible.

Noted on the cleanliness, we're on it!!!",8 months ago, 4 stars ,Gravy_Restaurant
Amazing food and service,8 months ago, 5 stars ,Gravy_Restaurant
"Hi Justin, thank you so much for your AMAZING review :)",9 months ago, 4 stars ,Gravy_Restaurant
"There was a waiter who did not know the menu well. ordered bruchetta, but he gave us burrata instead. gave us attitude after that. Fortunately, the food was good enough for us to forget about the grumpy waiter. highly recommend ordering the fish and bombette.",a month ago, 4 stars ,Volare
Came here for gelato and pasta a couple of times. Hit or miss. Recently super small portion for gelato and had to tell them that it is it so small compared to last time. …,a month ago, 1 star ,Volare
"Dear Mr Sim, please accept our sincerest apologies that this unfortunately incident happened on you. May we have your email address so we can understand the situation better? You may send us an email at Hello@volare-sg.com or WhatsApp us at 97108208 if you do not wish to reveal your details here.  Once again, we apologised for this unfortunately experience.",a month ago, 5 stars ,Volare
,a month ago, 5 stars ,Volare
,2 months ago, 5 stars ,Volare
,2 months ago, 5 stars ,Volare
,4 months ago, 4 stars ,Volare
,4 months ago, 5 stars ,Volare
,5 months ago, 5 stars ,Volare
"Ordered delivery - Bombette,Paccheri and Italian antipasto - Was really blow away by the authenticity of the tastes, harmony of flavors and freshness of the cold cuts. Will order again!! I think it also makes a good gift for that special occasion.",6 months ago, 5 stars ,Volare
Excellent. Service was attentive but unobtrusive. Always nice when my water is always kept topped up. …,6 months ago, 5 stars ,Volare
"Really good homely simple italian food. Good spot.

Burata was simple, light, fresh and flavourful, could do with just a bit more …",6 months ago, 5 stars ,Volare
,6 months ago, 5 stars ,Volare
,6 months ago, 3 stars ,Volare
"My second time here and still cannot come to terms with the poor decor, that I believe, belonged to the previous tenant, Honky Tonk bar. Service is severely lacking and rough around the edges. I was astonished at the way the waiter stacked …",7 months ago, 4 stars ,Volare
Good food,7 months ago, 5 stars ,Volare
"Pleasant surprise
Been pass this place many times but never tried
Interesting menu with uncommon pasta dishes but all v good …",7 months ago, 5 stars ,Volare
Seriously good Italian food. 😋 So good managed to get only one photo. Too busy eating. The pizza crust is thin and crispy (apparently dough was rested 36 hr before baking) ; tomato sauce has a balanced taste and is obviously homemade. …,7 months ago, 5 stars ,Volare
"We ordered a burrata, pesto vongole and Sicilian sea bass - fresh produce speaks for itself & food was pretty darn good (although indoor seating was very cold). Service was attentive and patient! They took the time to explain …",7 months ago, 3 stars ,Volare
"We wanted to grab some gelato and decided to come to Volare. They have a decent selection of flavours. We ordered a scoop of the Ferrero Rocher and Vanilla. Sad they didn’t have any cones, which was what we wanted. Single scoop costs $5.50, …",8 months ago, 5 stars ,Volare
Great food and ambience! Has very unique flavours that is not typically found in other restaurants. The white pizza was amazing,8 months ago, 5 stars ,Volare
Authentic Italian restaurant with great service. Will definitely visit again.,8 months ago, 5 stars ,Volare
A great place for reasonable and authentic Italian food. Friendly staff and excellent food.,9 months ago, 5 stars ,Volare
"Great authentic Italian food, friendly staff and chef ⭐️⭐️⭐️⭐️⭐️",9 months ago, 3 stars ,Volare
,9 months ago, 4 stars ,Volare
Can be under staffed when busy.,10 months ago, 4 stars ,Volare
,10 months ago, 4 stars ,Volare
,10 months ago, 5 stars ,Volare
Cleared the tagliatelle within minutes and the eggplant parmigiana. Tried many Italian restaurants and so far this is the most authentic Italian restaurant. Would love to patronise this place often :),11 months ago, 5 stars ,Volare
Authentic italian pasta! The orecchiette is simply amazing:)),11 months ago, 5 stars ,Volare
"Brilliant ambience, fantastic food & unique taste, followed by some good wine. Definitely, would visit again. …",11 months ago, 5 stars ,Volare
,a year ago, 5 stars ,Volare
I've been wanting to try this place forever! The food is absolutely amazing and reasonably priced! You must try the eggplant and the pasta and the pizza and the meats and seafood! Basically everything 😂! Bring friends to share with!!,a year ago, 5 stars ,Volare
,a year ago, 3 stars ,Volare
"Service: 7/10
Ambience: 6/10
Location: 6/10 …",a year ago, 1 star ,Volare
"Only decent was the Pizza but still underwhelming. I warn you guys, do not ever order the pasta. Obviously the chef doesn't know the difference between a cooked and uncooked noodle. (And no it wasnt al dente)",a year ago, 5 stars ,Volare
Amazing ambience with delicious authentic italian food! There is a special menu with unique flavours. Head Chef Giuseppe Di Gaetano is so friendly. Affordable and great place to gather with family and friends! Recommended.,a year ago, 3 stars ,Volare
You shouldn't have to pay for a bread basket at an Italian restaurant.,a year ago, 4 stars ,Volare
,a year ago, 5 stars ,Volare
"If you live around east coast and love Italian food, this is a must go place for friendly service, casual ambience and great pizzas, florentine steak and cold cuts.",a year ago, 5 stars ,Volare
"You can trust the Chef recommendation of the day. Everything is done with care and authenticity. The selection of wine and olive oil is also amazing. I particularly love that there are freshly-filled and cooked cornetti, perfect to be paired with a capuccino for a quintessentially Italian late breakfast on the weekends.",a year ago, 3 stars ,Volare
"Reasonable restaurant situated at a deplorable place with deplorable infrastructure which seems to have been taken over by some ""cornerstone"" Church. Which obviously didn't do anything to improve diner experience.",a year ago, 3 stars ,Volare
Food is tasty and a bit different. e.g. the spaghetti frutti di mare was not a tomato based sauce. But it was pricier than what I expected for a simply decorated restaurant in the suburbs.,a year ago, 5 stars ,Volare
,a year ago, 5 stars ,Volare
"Perfect pizza, delicious fresh pasta and friendly service. Great experience.",a year ago, 5 stars ,Volare
Great pizza! Ordered Salsiccia pizza and i think it is one of the best pizza I ever had,a year ago, 4 stars ,Volare
"Had a midweek craving for Italian food and steak, so we did some research and decided on this place. It was lunch time and the restaurant is practically empty apart from us and 2 other gentlemen. We had their marinara mussels and black …",a year ago, 5 stars ,Volare
,a year ago, 5 stars ,Volare
"This restaurant is my new favorite one here in Singapore. The food is outstanding. The Veal, Pizzas & Baby Octopus starter will make you believe in heaven. The Antipasto is a must too. Cant wait to try the rest. Pucker Italian.Really friendly too.",a year ago, 5 stars ,Volare
"(Translated by Google) Eight

(Original)
Osm",a year ago, 5 stars ,Volare
"I love going to Volare, the owner is very nice, the staff very attentive the food is simple but good,  please try the pizzas! ....and the italian wines excellent.",a year ago, 1 star ,Volare
"Was disappointed by the quality of the food. Ordered a bolognese pasta and the steak, the meat was quite dry. The pasta sauce was watery and tasteless. Overall not a great experience, the pizza was alright.",a year ago, 5 stars ,Volare
,a year ago, 5 stars ,Volare
,a year ago, 5 stars ,Volare
,a year ago, 5 stars ,Volare
Having visited La Barca @ Goodman arts centre on several occasions I was keen to check out head chef Peppos new Italian restaurant Volare. Set in the lively setting of Katong along east coast road is a fantastic new restaurant. Having just …,2 years ago, 5 stars ,Volare
,2 years ago, 5 stars ,Volare
,2 years ago, 4 stars ,Volare
,2 years ago, 4 stars ,Volare
Very nice burrata and tagliata. Friendly Italian staff!,2 years ago, 5 stars ,Volare
"This place is hands down the best Italian place at the Katong / Joo Chiat side of Singapore. Service is attentive, the recommendations are spot on, and the dishes just hit the right spot. …",2 years ago, 4 stars ,Volare
The team formerly at La Barca at Goodman Arts Centre is now in a new location at East Coast Road! Fine Italian restaurant in an otherwise tired mall. In line with the new surroundings the new restaurant is more casual and more affordable than before.,2 years ago, 4 stars ,Volare
A hidden gem in Katong Odeon buldg. Nice Italian dishes at reasonable prices in quite cosy ambient. Friendly staff n attentive services. Another good venue for gathering n to chill up with a beer or wine in the Katong neighbourhood.,2 years ago, 5 stars ,Volare
Excellent lunch deal with quality Italian food. By far the best on this stretch of East Coast Road.,2 years ago, 5 stars ,Volare
,2 years ago, 5 stars ,Volare
Great cozy restaurant serving classics Italian and few regional dishes like bombette from apulia region,2 years ago, 5 stars ,Volare
,2 years ago, 2 stars ,Volare
Ordered the takeaway pizza and was disappointed and shocked to find the bottom of the pizza badly burnt!The experience was good from my previous visit to the restaurant however this is really a bad taste in the mouth.,2 years ago, 5 stars ,Volare
,2 years ago, 5 stars ,Volare
Chef was from the old La Barca which is name for maritime ships. Moved to this New place 2 months ago! Volare which means wings to fly! You can heat the Italian s9ng.. Vo.. lare.. ohh.. …,2 years ago, 5 stars ,Volare
Great pasta!,2 years ago, 5 stars ,Volare
Nice and cosy family style restaurant. Friendly chef-cum-owner. Fiorentina steak is the best. Carbonara is pretty good too. Reasonably priced. Archipelago fresh beer on tap. Highly recommended.,2 years ago, 5 stars ,Volare
"Really quite amazed at their food here. Had their minestrone soup, wild rabbit pasta and fillet steak. Each were unique and delicious. Loved that they cut up the steak for you and mix it with the salad. Slightly on the pricier side though.",2 years ago, 5 stars ,Volare
"Amazing food from chef Peppo.A pure Italian restaurant was missing in east coast road,La Barca has level up.
Quiet and cozy ambience and open concept kitchen,nice selection of …",2 years ago, 5 stars ,Volare
First time to try rabbit meat pasta and it was awesome 😍👌🏼 Volare’s pizza is the best - must try! ❤️,2 years ago, 5 stars ,Volare
"I walk pass this place and tried their food, is so authentic and delicious. Cooked by an Italian Chef. And the warm service is fantastic.",2 years ago, 5 stars ,Volare
Their pizza crust was thin and not too doughy to eat. I've always had a problem with doughy crusts and so this was something that I appreciated.  The choice of cream cheese balanced out the sour tomatoes. Overall their pizzas was good. Their steak was grilled to perfection with the crispy exterior to the soft and pink middle.,2 years ago, 5 stars ,Volare
We've been coming here regularly and it never fails to impress. The duck confit is great and it's best to end the meal with their clafoutis. A gem in East!,a week ago, 5 stars ,La_Bonne_Table
good food. good vibes.,a week ago, 5 stars ,La_Bonne_Table
"Excellent!
Very authentic flavors from France!
Banyuls wine recommanded!",3 weeks ago, 5 stars ,La_Bonne_Table
One of my favourite place to dine😊,a month ago, 4 stars ,La_Bonne_Table
"1st time dining at la bonne table, and won't be the last time.

Pros: …",a month ago, 5 stars ,La_Bonne_Table
"Nice cozy French restaurant in a lovely part of Eaat Coast Road/Katong, with a good wine selection and well prepared cuisine. Good for a comfortable evening out but if you’re driving then suggest you give yourself a 15-20 min buffer to find parking .",a month ago, 4 stars ,La_Bonne_Table
"Came on a thurday night for their oysters. The oysters were amazing together with the bottle of chablis. Extensive wine menu and great food choices too! Desserts are not to be missed. Shoutout to Jerry, lead waiter, for taking care of us. His professionalism and hospitality was impressive.",a month ago, 5 stars ,La_Bonne_Table
"Why the waitress only asked my male friend ""how is the food?"" Is it your habit of Ignoring the female at the table even I paid for the meal. This is the second time I encountered. Very female unfriendly.
Uncomfortable, will never come again.",a month ago, 2 stars ,La_Bonne_Table
High quality and good deals on wine,2 months ago, 5 stars ,La_Bonne_Table
One of the best French restaurants I've had in Singapore. Very authentic food. Service was excellent. Highly recommended,2 months ago, 5 stars ,La_Bonne_Table
Love the beef bourguignon and their wine selection! Service is great too!,2 months ago, 5 stars ,La_Bonne_Table
"Wow, I went to La Bonne Table tonight and was amazed by the quality of the food and service which were both outstanding. I will admit the $1 oysters (Thursday only) pulled me in, but the cerviche was delicious and the generous wine pours …",2 months ago, 5 stars ,La_Bonne_Table
"Very very delicious food! I had the Duck Confit and beef bourguignon which were very delicious. However, the beef bourguignon portion was a bit small.",2 months ago, 4 stars ,La_Bonne_Table
,3 months ago, 5 stars ,La_Bonne_Table
"Amazing place in a vibrant neighborhood! Tried the Planche Ibérique (Spanish ham) for starters, served with bread and the tartiflette for main. Great quality food for those looking for homemade French gastronomy with quality ingredients …",3 months ago, 5 stars ,La_Bonne_Table
Amazing food and great service.,4 months ago, 5 stars ,La_Bonne_Table
"Nice food, nice ambience, nice staff. Thanks Jerry who was really attentive and made us felt very satisfied. Duck confit was probably the best i had so far, the crispy skin n tender meat was excellent. Will recommend anyone who love food to …",4 months ago, 5 stars ,La_Bonne_Table
,4 months ago, 5 stars ,La_Bonne_Table
"Authentic and delicious food. If you want to taste real French food, and traditional specialties, go to la bonne table eyes closed! Their food is homemade, from Appetizers to desert. It's so comforting! …",6 months ago, 5 stars ,La_Bonne_Table
As someone who really enjoys “la cuisine française «  i enjoy coming here quite regularly  for the «  classiques « . Their mains are lovely and well prepared but i fail to appreciate “le purée de pommes de terre » which could be so much …,6 months ago, 4 stars ,La_Bonne_Table
"Party of four was there on Thursday night. It’s oyster $1 night... but we were impressed... oysters were tiny.
Home made smoked salmon very well made. We could taste the smokiness in every …",6 months ago, 4 stars ,La_Bonne_Table
Great service and very kind staff. Food was really awesome. Highly recommend the Carré d’Agneau - absolutely melty and cooked to perfection. Super dessert and nice simple atmosphere. We will be back !,6 months ago, 5 stars ,La_Bonne_Table
"A very quaint and beautiful place. Food was excellent and staff were superb, exspecially Kiran. A most definite must do for all. Thanks for a fabulous moment.",6 months ago, 5 stars ,La_Bonne_Table
"i ordered duck confit to go and ate it right away and it was terrible. the skin was good and crisp, but not salted well, the meat was superrrr tough, not the way duck confit is supposed to fall off the bone. mushroom cream sauce was eh and …",6 months ago, 1 star ,La_Bonne_Table
was here for dinner on a Friday night. there were indoor and outdoor dining options and the place was almost full with many French diners. …,7 months ago, 4 stars ,La_Bonne_Table
,7 months ago, 5 stars ,La_Bonne_Table
,7 months ago, 5 stars ,La_Bonne_Table
"First visit here but wont be my last! great food recommendations by Mr Jerry. Despite the busy and hectic workload, Jerry kept a look on us and attended to our needs. The beef stew and chicken was amazing!",7 months ago, 5 stars ,La_Bonne_Table
,7 months ago, 5 stars ,La_Bonne_Table
"Very pleasant dining experience, good wine and good food. French style cuisine that was prepared by a true french",7 months ago, 5 stars ,La_Bonne_Table
Great service! Nice vino. Located on East Coast road. The owners serve authentic French food.,7 months ago, 5 stars ,La_Bonne_Table
A gem of a small French restaurant along Katong with a cozy atmosphere. Their food is really good -  foie-gras is a must try. …,7 months ago, 5 stars ,La_Bonne_Table
Good price,7 months ago, 5 stars ,La_Bonne_Table
"Excellent service at Le Bonne Table. They kept checking up on us and making sure our tables were cleared on time for the next courses. Also really good oyster deals in the evening. Big thank you to Jerry, service was amazing.",8 months ago, 5 stars ,La_Bonne_Table
"after days of making a reservation, i finally manage to make a reservation yesterday(so book early!!!). the food was amazing and great variety of french wine available and big shout out to jerry for the exceptional service and great recommendations of the food and wine pairing. will definitely go there again!!",8 months ago, 5 stars ,La_Bonne_Table
brilliant atmosphere and great food being served here. strongly recommend this place. nice service from jery. will be back here again!!,8 months ago, 5 stars ,La_Bonne_Table
"(Translated by Google) love the good table, understated, has really nice french food here, Le Tartare de Thon and Confit de Canard Maison, delicious! …",8 months ago, 5 stars ,La_Bonne_Table
"Great place with a fantastic food, good and reasonably priced wine and friendly service. Make sure to book in advance (often full house) and try recommended dishes that are not always in the menu!",8 months ago, 5 stars ,La_Bonne_Table
"Enjoyed the French version of the 'gulash'. My French friend said the menu is  as French - as authentic - as in France. Small, cozy spot.",8 months ago, 5 stars ,La_Bonne_Table
"Very satisfied!! Enjoyed delicious foods, and felt very comfortable during dinner time. Service staff was ok. I really enjoyed this month's special menu with a glass of wine. Oyster is little bit small but fresh and nice. Very happy to know this good restaurant near my home. Will visit again.",9 months ago, 5 stars ,La_Bonne_Table
Didn’t expect that I could enjoy French dishes SO MUCH until I have been here. Hope to visit again very soon.,9 months ago, 5 stars ,La_Bonne_Table
"I have mixed feealings about the place. On paper it looked very appealing, nice decor, market level pricing, variety of dishes, and wines. However, my personal experience has been a bit of a ""so so"". Decor is definitely nice, but the place …",9 months ago, 3 stars ,La_Bonne_Table
,9 months ago, 5 stars ,La_Bonne_Table
,9 months ago, 5 stars ,La_Bonne_Table
,10 months ago, 3 stars ,La_Bonne_Table
,10 months ago, 5 stars ,La_Bonne_Table
,10 months ago, 5 stars ,La_Bonne_Table
"Buena Comida! Good preparations, classic Bistro style food, a lot of memories from France. Good selection and promotions on wines, staff always around. Premises clean and modern. Non alcholic menu just average (a few natural Juices or shakes will be great) Overall Good job!!",11 months ago, 5 stars ,La_Bonne_Table
Was there last thursday. The food and ambience is great and lovely. The beef stew and the tuna tartar was amazing. Kuddos to the chef. Would really recommend all the easties to visit this place and to experience the great food and to check …,a year ago, 5 stars ,La_Bonne_Table
"I was very underwhelmed by the experience here, but I do want to give it another try. …",a year ago, 3 stars ,La_Bonne_Table
"good food, good service and good atmosphere!",a year ago, 5 stars ,La_Bonne_Table
,a year ago, 4 stars ,La_Bonne_Table
"Great restaurant and great food. Would be nice to see at least 1 or 2 more seafood items on the menu, like a bouillabaisse or a plateau de fruits de mer or a sole meunière. But overall great menu and lovely food and wine! It's really a bonne table!",a year ago, 4 stars ,La_Bonne_Table
Excellent quality of food,a year ago, 5 stars ,La_Bonne_Table
A lovely place to enjoy french food. Will definitely make this place a frequent favourite. …,a year ago, 5 stars ,La_Bonne_Table
Nice vibe and some interesting dishes. But duck leg confi was underseasoned. Mash and tartiflette were good.,a year ago, 4 stars ,La_Bonne_Table
"Really impressed with the food and the service, the only draw back was the seating close to the street was a touch noisy and not the most comfy. However, we were moved to the table close to the entrance and that was much more pleasant. Really recommend the Crème Brûlée.",a year ago, 4 stars ,La_Bonne_Table
,a year ago, 5 stars ,La_Bonne_Table
,a year ago, 4 stars ,La_Bonne_Table
Great authentic French food and great service.,a year ago, 5 stars ,La_Bonne_Table
Authentic French Cuisine! Scrumptious and delicious main course. Had the Today's Special - Cote de Boeuf.. Mmmm. Well grilled and juicy beef ribs. The rest of the main course are great too. Ended with the must have French dessert ~ Cream …,a year ago, 5 stars ,La_Bonne_Table
Their Thursday night is v gd... It's because the oysters r $2 per piece... So u can eat as much u want...wine is also gd..,a year ago, 5 stars ,La_Bonne_Table
Cozy restaurant with great ambience. Although by the road could be slightly noisy. Food is good. Hope to see a bigger variety for selection for regulars.,a year ago, 4 stars ,La_Bonne_Table
Great French fine food. Great Service and very friendly staff. Good selection of burgundy wines & meat.,a year ago, 5 stars ,La_Bonne_Table
"Wonderful place! Feels very homey and authentic. Highly recommend crème brûlée, tartiflette, bourguignon ans tuna tartare! Will definitely be back. Their rosé is wonderful, too. Juicy flavour, yet dry, and beautiful colour!
The bread was not very fresh though. .. And no cheese available among deserts...",a year ago, 4 stars ,La_Bonne_Table
"I was disappointed with the food here. For instance, the ratatouille which came with the sea bass(which btw was not seasoned at all) was a rectangular grey mush. I've never seen ratatouille that colour or tasted one like that. Dessert tarts were good though, full marks there.",a year ago, 1 star ,La_Bonne_Table
"No fuss, traditional, good, affordable French food with very cool staff / managers.",a year ago, 5 stars ,La_Bonne_Table
"Lovely place,  original menu.  Must recommend the cured tuna for starters or main course",a year ago, 5 stars ,La_Bonne_Table
"(Translated by Google) Excellent restaurant, run by a great team of Frenchmen and a great chef! Super nice setting and a very good menu. I recommend …",a year ago, 5 stars ,La_Bonne_Table
Very good French and Mediterranean cuisine. Frequently come there and never disappointed.,a year ago, 5 stars ,La_Bonne_Table
,a year ago, 5 stars ,La_Bonne_Table
"One of my favourite restaurants in Singapore. Charming environment, great food, outstanding service.",a year ago, 5 stars ,La_Bonne_Table
Cosy atmosphere. Tasty food! Friendly owners.  Great place for all the occasions 🤩,a year ago, 5 stars ,La_Bonne_Table
Very good restaurant and service!,a year ago, 5 stars ,La_Bonne_Table
Nice ambience,a year ago, 4 stars ,La_Bonne_Table
Great place to go to. The homemade duck pate is great. Lava cake and ice cream is nice but personally would prefer it to be freshly baked than microwave.,a year ago, 4 stars ,La_Bonne_Table
Just simple home cooked food done well. The owners get out and talk to you and the atmosphere is on point. Good wine selection to boot. Well worth a visit for lunch at the weekend or for french oysters on a Thursday night.,a year ago, 5 stars ,La_Bonne_Table
