,Review,Date,Stars,Restaurant
115,"Cafe was highly reviewed so we went to try. Burger was dry, does not have much taste. Didnt justify the price we were paying for. Onion rings was oily and had no seasoning. Would have paid the same price for wolf burger or shake shack.",9 months ago, 1 star ,TFDB
116,"Burger patty is dry, food is not very good. The queue is not worth it, have had better burgers for the price. Ambience and service is not bad. Not sure if standard drop after food long.",9 months ago, 1 star ,TFDB
117,Good service and food.,9 months ago, 5 stars ,TFDB
118,"Great burgers, recommended for a casual eat. Service was friendly but a little slow considering it was very quiet in there.
Recommended for a good burger and a beer 🍻",9 months ago, 4 stars ,TFDB
119,"Open air ambience can be hit or miss, and in our case, a big miss. It was warm and stuffy and poorly lit, and much less enjoyable because we're along the roadside. Food was decent though, but might not be worth it if not for the promos",9 months ago, 3 stars ,TFDB
120,Very satisfying piece of burger at very reasonable price. Great service as well.,9 months ago, 5 stars ,TFDB
121,"If there was an option to choose 0 stars, this  place would earn it. Restaurant is known for its supposed american LA ambience & food while the ambiance could pass for that old american restaurant feel, the food was on the other spectrum of …",9 months ago, 1 star ,TFDB
122,Great service with friendly staff. Helped us to get comfortable seats for a pregnant woman! …,9 months ago, 5 stars ,TFDB
123,Amazing quality food. With affordable set prices for both lunch and dinner. The staff are really friendly and kind. The milkshake is a must try!!,9 months ago, 5 stars ,TFDB
124,Solid burger and beers place!,9 months ago, 5 stars ,TFDB
125,Been here many times. Great burgers! Try the chocolate milkshake too - very yummy. It gets busy and takes a bit of time for the food to come buts quite well worth it.,9 months ago, 5 stars ,TFDB
126,"Strategically located in Bugis area and the seats facing the road crossing is rather interesting to sit and eat. Wide selection of aloholic drinks and really tasty burgers. We trued both number one and number two burgers, portion wise could …",9 months ago, 4 stars ,TFDB
127,"We tried the Number One and Number two through Foodpanda, which were pretty decent. However, a bit disappointed at the misleading photos on the app. …",9 months ago, 2 stars ,TFDB
128,Nice food,10 months ago, 3 stars ,TFDB
129,"Get ready to queue as this ever-popular place serves excellent burgers, sides and drinks. …",10 months ago, 4 stars ,TFDB
130,,10 months ago, 5 stars ,TFDB
131,Very bad experience. Waited almost an hour for our burgers which we were not informed earlier on the long waiting time. Had an appointment after lunch and had to rush through our meal. …,10 months ago, 1 star ,TFDB
132,Waiters are not proactive from the beginning when you are enter to this restaurant! but when it comes to sales they are pushy! You buy more beers they are happier. Otherwise you are nothing 😆,10 months ago, 1 star ,TFDB
133,"Good burgers and at very good price given the nice ambience. Dinner and lunch sets are value for money. Onion rings and truffle fries were good. Burgers (number 1 & 2) were good but overall, the meal is way too salty so I took away one star for that. The saltish-ness of everything (fries, beef patty, bacon) was quite overwhelming",10 months ago, 4 stars ,TFDB
134,,10 months ago, 4 stars ,TFDB
135,Cosy place with good burgers.,10 months ago, 5 stars ,TFDB
136,"Liked it, go for the number 1. Please reserve or prepare to wait!",10 months ago, 4 stars ,TFDB
137,,10 months ago, 5 stars ,TFDB
138,"We had the Number 1, Number 2, onion rings and classic vanilla milkshake. Really enjoyed the burger! The beef patty is juicy and moist, and the bun is just so fluffy and soft. I like that it’s served with brown paper so that it’s easier to …",10 months ago, 4 stars ,TFDB
139,Love the Burgers. Abit pricey though. Will go back again.,10 months ago, 5 stars ,TFDB
140,,10 months ago, 5 stars ,TFDB
141,,10 months ago, 5 stars ,TFDB
142,,10 months ago, 5 stars ,TFDB
143,,10 months ago, 5 stars ,TFDB
144,Got there at 6pm as the place is small. My friend had a one-to-one burger voucher from Chope. Had the number 1 burger. Burgers are really  tasty--the one for one sides and beer are great too if you order before 7pm during happy hour. (Some items not applicable.) Queue formed up and was still there when I left.,10 months ago, 5 stars ,TFDB
145,,10 months ago, 4 stars ,TFDB
146,,10 months ago, 5 stars ,TFDB
147,Came for their lunch special. Its $12 with a small side but the size is much smaller than regular burger. If you add $3 to upsize then its becomes the regular size. A bit of a poor/con gimmick promo. The fries was quite small. Better off …,10 months ago, 3 stars ,TFDB
148,,10 months ago, 5 stars ,TFDB
149,,10 months ago, 4 stars ,TFDB
150,"Good:Burgers are simple yet really good.
Meh:Shakes are good but as expensive as burgers.
Bad:Make you pay for dipping sauce",10 months ago, 3 stars ,TFDB
151,"Food is great, we got the number one, two and four burgers! Thanks to Gina aldrick and dinesh for the good service.",10 months ago, 5 stars ,TFDB
152,Came here on a Saturday night where the queue was really long. Waited about 1h 15 mins for a table and honestly no burger is worth waiting that long for. …,10 months ago, 3 stars ,TFDB
153,"I usually go there and take the number 3 burger with curly fries, delicious and really great price for the quality! Highly recommend",10 months ago, 5 stars ,TFDB
154,,10 months ago, 4 stars ,TFDB
155,long queue on a friday evening. service was prompt in general. had burger #1. good but not as good as expected.,10 months ago, 4 stars ,TFDB
156,"Ate here around 9pm at night!
Really enjoyed the meal. The beef was succulent and flavorful!",10 months ago, 5 stars ,TFDB
157,tasty,10 months ago, 5 stars ,TFDB
158,I found out about this place in Bangkok where there is also a 25 Degrees outlet where I have been several time and had fantastic burgers. So I decided to try here in Singapore . Well I am afraid this one is not at the same level of BKK …,10 months ago, 3 stars ,TFDB
159,"No.1 is great for those who like strong, sharp flavours, and No.2 is better for those who prefer milder creamier flavours. …",10 months ago, 4 stars ,TFDB
160,,11 months ago, 4 stars ,TFDB
161,"Tried number 2 and 3 burgers from menu.Their burgers are good! Tasty meat with tasty buns. Truffle fries also tasted nice. Service is good.Only downside is ambience, constant road noise due to open restaurant setting.",11 months ago, 5 stars ,TFDB
162,"Salted caramel milkshake tasted like milk blended with potato chips. The other milkshake we had (cookies and cream) and apple tart was okay, not too bad but nothing to rave about..might be a good place for alcoholic drinks and food but opening hours was shorted due to covid",11 months ago, 3 stars ,TFDB
163,One of the best burgs I've had & the milkshake is amazing! ❤️,11 months ago, 5 stars ,TFDB
164,"We got the number 2 and 3 burgers, an order of onion rings plus a vanilla milkshake. Really liked how the burrata and pesto complemented one another in number 2. 3 was alright, the peppers overpowered everything else.  Loved how flaky the …",11 months ago, 3 stars ,TFDB
165,,11 months ago, 5 stars ,TFDB
166,"Burgers are really worth the price. Loved the ""number one"" burger.",11 months ago, 5 stars ,TFDB
167,"Great burger, especially the sauce",11 months ago, 5 stars ,TFDB
168,I wonder how long they took to cook their burgers at only 25° 🤔🤔🤔,11 months ago, 5 stars ,TFDB
169,Good burgers with quality ingredients. No hype nor ridiculous queue like some other burger joints . Good stuff!,11 months ago, 5 stars ,TFDB
170,,11 months ago, 2 stars ,TFDB
171,"I will not call it as burger, the size is more towards slider",11 months ago, 3 stars ,TFDB
172,,11 months ago, 4 stars ,TFDB
173,"A very chill place to hangout after work or after a long day. Not forgetting, they serve really decent portions of yummy burgers and fries! Pair it with some beer, and you are good for the night! 🍔👍",11 months ago, 5 stars ,TFDB
174,Burgers were juicy and the onion rings are tasty.,11 months ago, 5 stars ,TFDB
175,,11 months ago, 5 stars ,TFDB
176,I havent had such a delicious and juicy burger is a while. Great burgers at reasonable prices. Onion rings are crispy awesome too.,11 months ago, 5 stars ,TFDB
177,The beef burger is very savory. Definitely recommend it,11 months ago, 5 stars ,TFDB
178,,11 months ago, 5 stars ,TFDB
179,Do not go there for breakfast as they are so expensive for such a small portion I spent 108 dollars and was so not satisfied,11 months ago, 1 star ,TFDB
180,,11 months ago, 5 stars ,TFDB
181,,11 months ago, 3 stars ,TFDB
182,,11 months ago, 4 stars ,TFDB
183,"Great food, great service!",11 months ago, 5 stars ,TFDB
184,bread isn't amazing,11 months ago, 2 stars ,TFDB
185,Food was delicious. Nice ambience to chill with friends and grab a couple of beers.,11 months ago, 5 stars ,TFDB
186,"I dont want to review this place cuz the food is soo good and there are already queues!! Stay away y'all, i want this burger place to myself!! …",11 months ago, 5 stars ,TFDB
187,Great burgers! Beyone burger tasted good!,11 months ago, 5 stars ,TFDB
188,"Burgers were good and onion rings were crispy and not too heavy. Staffs were attentive and friendly, reminding us the 1for 1 set during happy hour which was very nice. For happy hour the beer is 1for1 too so it’s be great to reach by 7 and …",11 months ago, 5 stars ,TFDB
189,"Staffs are reallyyy nice~☺️

Tried their turkey burger specials that is available until 30 Nov and I’m …",11 months ago, 5 stars ,TFDB
190,Amazing service I would say! The staff were very attentive and helpful in recommendations. The burgers were super good and there were $1 chicken wings on offer on Mondays so that was quite a steal! Sides were also going at 1 for 1!! Best …,11 months ago, 5 stars ,TFDB
191,Deletable burgers! Good fluffy but toasted bun. Fresh and good ingredients. They even put some fresh tomatoes pickles and onions at the side in case you want to include those in your burger. We had the sweet potato fries and they were pretty good with a huge portion too. Thanks!,11 months ago, 5 stars ,TFDB
192,"Customer services excellant.
Food portion is alot. 👍 however dont recommend the milkshake. 😅 overall ok",11 months ago, 4 stars ,TFDB
193,"The beef burgers were juicy and tasty, thr beef patties were generous and cooked to the doneness we requested. The milkshakes were thick and flavourful. Sides are good for sharing. Service staff were attentive, yet not overwhelming. We'll definitely be back!",11 months ago, 5 stars ,TFDB
194,Best cheap burger place imo. Definitely to-go,a year ago, 5 stars ,TFDB
195,,a year ago, 5 stars ,TFDB
196,,a year ago, 5 stars ,TFDB
197,Very much enjoyed my burger (no 3)and the 10 dollar Brooklyn defender ipa (Tuesday special price). Paid 2 bucks for additional roasted red peppers on my burger. They appeared to be green and lightly fried which was disappointing.,a year ago, 4 stars ,TFDB
198,this review is solely based on the sides and milkshakes. we did not try any burgers …,a year ago, 2 stars ,TFDB
199,For those who enjoy finger food & burgers with cold beer to whine off a hot afternoon  & evening in al fresco setting. Not my piece of cake.,a year ago, 2 stars ,TFDB
200,"Really nice staff. Discount of 15% for Hotel G guests. Ordered number 1 and buttermilk burger. Both are awesome. Flavourful patty. No reservations allowed. Queue earlier for limited seats. At junction of road, just bepow Hotel G. Highly recommended.",a year ago, 5 stars ,TFDB
201,,a year ago, 5 stars ,TFDB
202,Great quality burgers at very affordable prices,a year ago, 5 stars ,TFDB
203,Excellent location cafe in the heart of downtown singapore. It's directly below the hotel G. It is near to rocher mrt and walking distance to bugis mrt. …,a year ago, 4 stars ,TFDB
204,,a year ago, 3 stars ,TFDB
205,,a year ago, 5 stars ,TFDB
206,Excellent burgers but do check the Sonoran hot dog also which is just as good but a bit trickier to find in the menu.,a year ago, 4 stars ,TFDB
207,"Bun was dry and not heated up thoroughly inside.

However their cheeseburger made the save.",a year ago, 3 stars ,TFDB
208,,a year ago, 5 stars ,TFDB
209,"Easily accessible location, great ambience with a California vibe. Had their signature No 1 burger & beer on tap",a year ago, 3 stars ,TFDB
210,,a year ago, 5 stars ,TFDB
211,Decent burger with thick juicy patty. Truffle fries and sweet potato fries is must add on. Will visit again.,a year ago, 5 stars ,TFDB
212,,a year ago, 5 stars ,TFDB
213,,a year ago, 4 stars ,TFDB
214,Beef burger is amazing,a year ago, 5 stars ,TFDB
215,,a year ago, 5 stars ,TFDB
216,Nice burgers n great service!,a year ago, 5 stars ,TFDB
217,,a year ago, 4 stars ,TFDB
218,,a year ago, 5 stars ,TFDB
219,Came here in a group of 5 (hello covid!) and the table got the $12 set meals. Order the Number One burger. It is really number one. Staff were delightful and acceded to our numerous water request!,a year ago, 5 stars ,TFDB
220,Location is easy to find as it is under a hotel and we can immediately identify the place as there is a long queue. Overall wait is bearable. Service is fine. …,a year ago, 4 stars ,TFDB
221,"Good service, pretty good burgers that are little too salty, tried their Number 1 burger.",a year ago, 4 stars ,TFDB
222,"Superb service and even better burgers! Came in for their $14 burger + fries lunch combo. Asian sized burger (abit small) but perfect for me, juicy and cheesy and will definitely come back again. Lettuce tomato and fresh veges are put aside. Fries are surprisingly a lot tastier than many other bars I've been to.",a year ago, 5 stars ,TFDB
223,,a year ago, 5 stars ,TFDB
224,"Went thrice over the year, pretty consistent burger. Very fluffy, toasted brioche bun, thick juicy medium-rare patty. Don't need to order sides, burger alone is filling for me.",a year ago, 5 stars ,TFDB
225,"Great burgers, not very cozy restaurant. Aside from burgers the rest of the menu isn't impressive. Ginette, the neighboring restaurant is a lot better!",a year ago, 4 stars ,TFDB
226,One of the best burger in town. Recommended.,a year ago, 5 stars ,TFDB
227,Simply decorated Bistro / American steak house feel to this very small joint tucked away in a corner. Menu selection had been thankfully kept simple and limited due to obvious reasons. Food really wasn't bad. Nothing which you can fault. Nothing spectacular unfortunately.,a year ago, 3 stars ,TFDB
228,Great burgers.,a year ago, 5 stars ,TFDB
229,,a year ago, 5 stars ,TFDB
230,Clean ambience. Burgers not spectacular but decent for the price. Drinks expensive.,a year ago, 4 stars ,TFDB
231,"All American ambience... the patty is really good(medium-well done), served with soft pen seared buns. The milk shake is good but a lil pricy   compared to shake shack. Burgers are @ $14++, do take note - creating your own will be pricier...",a year ago, 4 stars ,TFDB
232,,a year ago, 4 stars ,TFDB
233,,a year ago, 3 stars ,TFDB
234,"$14 for each set of burger, tasty, juicy, crispy bacon, melted cheese. Made myself another customize burger with double turkey party, portobello mushroom and buratta cheese 😋. Perfectly fried truffle fries. Cozy place, vary cocktail menu and drinks, Worth the try",a year ago, 5 stars ,TFDB
235,Great burger...cool place,a year ago, 5 stars ,TFDB
236,,a year ago, 5 stars ,TFDB
237,"very very filling!  :) burger,  fries and onion rings were great. the bun was delicious. went there for a late lunch and stumbled upon happy hour.  so we had 1-for-1 fries and 1-for-1 beer!  butbparking at Hotel G can he tricky because youll enter on the right lane...",a year ago, 4 stars ,TFDB
238,"Awesome burgers, value for money. Good mix of different fat content in beef burgers, not just the standard grind. Nicely grilled patties too.",a year ago, 5 stars ,TFDB
239,love that place!!!!,a year ago, 5 stars ,TFDB
240,"(Translated by Google) Medium food

(Original)
食物中等",a year ago, 3 stars ,TFDB
241,"One of the best burgers ever in Singapore, and underrated. Always satisfies my cravings for meaty hearty meal even though I’m not a burger person. …",a year ago, 5 stars ,TFDB
242,,a year ago, 5 stars ,TFDB
243,Walk ins only,a year ago, 5 stars ,TFDB
244,,a year ago, 5 stars ,TFDB
245,"Staff were really friendly and the burgers were fantastic, really tasty and opens up your appetite. The best thing is that they even separate your vegetables for you so you can choose whether to have them or not.",a year ago, 5 stars ,TFDB
246,,a year ago, 5 stars ,TFDB
247,Good stuff,a year ago, 4 stars ,TFDB
248,,a year ago, 5 stars ,TFDB
249,"Forget 5 Guys, this is much batter, and cheaper.",a year ago, 4 stars ,TFDB
250,"Excellent service from the staff; gorgeous and tasty milkshakes.  Their beef burgers, are the main attractions.",a year ago, 5 stars ,TFDB
251,,a year ago, 5 stars ,TFDB
