,Reviews,Restaurant
25,"['the sides like fried broccoli is unusual and onion rings are nicer than fast food chain as they aare made from sliced onions', ' the burgers were major letdown buttered chicken wasnt chicken thigh as stated in menu which im ok but the end ']",TFDB
26,"['yummy and juicy burger made to perfection', ' absolutely worth the price', ' thee beef patty and smooth and not greasy no tough tendons too', ' kids love it', ' friendly customer service']",TFDB
27,['friendly staff and delicious burger'],TFDB
28,"['great place for food', ' burger w friends and family']",TFDB
29,"['amazing burgers', ' strongly recommend the number one burger bought the signature burger and milkshake deal with kris and it makes this even more worth it', ' will definitely visit this place again to try the other burger options']",TFDB
30,['burger fries and milkshakes is the order here'],TFDB
31,"['love the burgers', ' service by gina was great']",TFDB
32,['good burgers for the price loved the number one'],TFDB
33,['friendly staff always willing to top up our drinks without us asking'],TFDB
34,['1010would come back for the burgers any daystaff was great and service was fast'],TFDB
35,"['its ok nothing more nothing less', ' it started very strange when i ordered a pint of beer and was asked whether i want 200ml or 500ml technically neither but nevermind then i got my beer and a snack which essentially was a slice of a ']",TFDB
37,"['nice juicy burger bread is soft and patty is juicy and tasty', 'garlic chicken wings is very delicious', ' with fries at the bottom', '  very nice snackrecommended']",TFDB
38,"['very reasonably priced burgers', ' filling and tasty', ' meat was cooked to the right temperature and was fairly juicy but it just didnt taste like it was seasoned right', ' wouldnt mind coming back to try other burgers again though just for comparison']",TFDB
39,['juicy burger patties topped off with cheese and served between 2 fluffy brioche buns'],TFDB
40,"['beautiful burger bar amazingly helpful staffthe decor and ambience is so welcoming', ' ']",TFDB
41,['good fries'],TFDB
42,"['the most complete burger i have eaten so far', 'the number one is not a purists burger as it is chock full of ingredients', ' but the combination is so well done it puts the burger at a whole other level', ' add some curly fries and you get a perfect meal']",TFDB
43,['very greasy breakfastwith a bitter coffee'],TFDB
44,"['burgers were excellent  juicy lucy buttermilk fried chicken burger and number two with onion rings sweet potato fries and coleslaw', ' coleslaw was not overly creamy its light and compliment the burgers well', ' because its a take away ']",TFDB
45,"['the burgers are not bad', ' however disappointed with the salad due to take away', ' you dont enjoy what a salad is supposed to be when the dressing are separated for takeaway']",TFDB
46,['translated by google 4starprosjuicy thick beef pate '],TFDB
48,"['very unfriendly', '  service slow', ' food was ordinary', '  mcdonalds standard but pricier', ' coleslaw was off totally', '  mayo used was probably too old and curdled', ' tasted weird', ' definitely need to look into it 6 a portion for this coleslaw is also a ripoff']",TFDB
49,"['dont order delivery or takeaway from this place', ' they dont know how to manage their order systems properly to get you your order on time']",TFDB
50,"['the food is very good but the management is too sneaky for their own good', 'the menu lists a family box that comprises 4 burgers and 2 sides', ' so you would ']",TFDB
51,"['happy cause i found a place that can rival three buns  at more reasonable prices we had no', '1 and no', '2 and the highlight is definitely their patty  had it medium and it was so juicy', ' flavours are strong yet well balanced', ' onion rings tad foo oily so will skip that next time']",TFDB
52,['pricy but delicious well made and they arent afraid of medium rare beef'],TFDB
53,['burgers were great loved the number 1 really one of the best burgers i had'],TFDB
54,"['very nice burgers at value for money pricing  wish i have known this place much earlier tried both their no 1 and no 2 both are yummy', ' asked for medium doneness for both beef patties and am really pleased that they nailed it beautifully ']",TFDB
56,"['one of my go to that i think is way underrated and beats hans im gluck and omakase', ' ']",TFDB
57,"['amazing service from gina', ' well informed about the menu makes excellent recommendations and just incredibly polite and nice', ' possibly the best service ive experienced in singapore', ' she went out of her way to get us a table for three walkin', ' just amazing', ' burgers are great and fries are awesome']",TFDB
58,['possibly the best burger ive had in town for awhile'],TFDB
59,"['its quite good and decent', ' the place is also rather comfortable too']",TFDB
60,"['love the burgers here its as good as omakase burger ordered both number 1 and number 2 i like the meat as it is juicy and their onion rings are really nice', 'my favorite would be the number 2 as the tomato gives it extra omph juicy factor ']",TFDB
61,"['juiciest burger ever great flavors too me and my friend got no', '1  no', '2', ' she loved the onion rings must try the place is tad hot wished it could be a little breezy', ' but its a great place to sit and have a burger cold beer and people watching on a sundays kinda situation', ' youre welcome ']",TFDB
63,"['juicy burgers and milkshakes are fantastic', ' fries could be lesser saltier though']",TFDB
64,"['amazing place with good food and worth the waiting time', ' if you go here please get the burgers and sides and milkshakes the beef burgers patties are even cooked to your choice of donenessthe sides are slightly small for price but still tasty', ' staff even gave a free desert for birthday girl']",TFDB
65,"['excellent reasonably priced burgersi tried the no', ' 1 no', ' 2 and the buttermilk fried chicken burger', ' all the ']",TFDB
67,['good chill out place with decent burgers not all burgers are to my liking overall good experience good service'],TFDB
68,"['nice burger place serving veganvegetarian options', ' the black  beyond burger and veggie burgers are delicious', ' beyond burger is 100 vegan and comes with vegan cheese', ' veggie burger tastes a little bit plain itself in my opinion but ']",TFDB
71,"['good very dining good expensive', 'service is good too ']",TFDB
72,"['a chill out place facing the cross junction', ' diagonal facing nafa toastbox', 'having the 1for1 beer', ' apparently only the 250ml tapped beer', ' it need to come along with sides', ' the sides are limited to fries', 'overall its a just an average experience']",TFDB
73,"['i ordered some food from here a few days ago', ' wasnt very impressed', 'first off the 25 degrees salad was v depressing  the grilled turkey was ']",TFDB
75,['nice burger'],TFDB
76,"['burgers are good  prices ok ok for burgers average about 14 drinks are  tag expensive in my opinion  a pint of asahi black for 19  mmm', ' ']",TFDB
79,['quite high price for the burger with no sides'],TFDB
80,"['the burger is really really good and tasty', ' the patty is the key of the delicious burger', ' however the side dish is ok for me', ' not too good not too bad', ' i will come again for the burger']",TFDB
82,['really great burgers to go with'],TFDB
83,['burger 1'],TFDB
84,['great burger but inhonest service'],TFDB
86,['cheap local breakfast option'],TFDB
87,"['number one burger is good', ' probably one of the top in sg', ' the avocado scrambled eggs is also great have to queue up for quite awhile on a saturday night  about 25 mins', ' they dont do reservations', ' waiter is friendly', ' the female waitress seems to be a in a rush to walk away while taking our order perhaps due to understaffed']",TFDB
88,"['burgers are awesome thought they were kidding when were asked for the doneness of the patty', ' really well grilled and cheese is beautifully melted', ' there are a few sides available as well', ' super value for money especially if u take up the happy hours meals', ' loved it']",TFDB
89,"['cheap local breakfast', ' nice ambience good place to watch the world walking by']",TFDB
90,"['the buns are really fluffy n crispy the regular serving is 120g meat patty', ' personally the upsize to 200g will suit an adult more', ' overall very good tasty burgers']",TFDB
91,"['good flavour however the burger patty tasted with rough and a little dry despite asking for the patty to be done medium', ' the quality of the beef grind might not have been good', ' ']",TFDB
92,['best burger ive had in singapore'],TFDB
94,['great burgers'],TFDB
95,['cocktails and truffle fries are delicious'],TFDB
98,"['ordered a number one burger  vanilla milkshake  curly fries', ' food was great will definately visit again for number two and three burgers', ' staffs are attentive for orders and request']",TFDB
99,"['the place is very open aircon not very strong but still ok', ' the service was good they prepared the wrong order n gave us the extra burger lol', ' waiting time around 25mins', ' truffle fries n burger no', '2 was good']",TFDB
100,"['manger was rude and unattentive', ' we ordered a takeaway and it was left on the counter unattended till we asked']",TFDB
101,"['excellent and affordable burger placeremember to try the chicken wings too', ' ']",TFDB
102,"['they have a good variety of burgers that are all juicylicious', ' we try a different burger each time were here and i havent been disappointed', ' this round we had their numbers 124  buttermilk fried chicken burgers shared curly fries  onion  rings plus beers to wash it all down', ' luv this burger joint']",TFDB
103,['server was very friendly and offered to refill my coffee and iced water food was nice'],TFDB
107,"['delightful western breakfast eggs hash browns bacon and coffee', ' the eggs were simply outstanding']",TFDB
108,['good location'],TFDB
109,['very juicy burgers'],TFDB
110,"['nice american style burger joint with huge burgers and shakes', ' slightly pricey but pretty good quality and did i mention the burgers are huge']",TFDB
111,"['good juicy burgers', 'hats off', ' curly and truffle fries were good', ' milk shakes are okay still prefer the jerrys one over them', ' nice place to sit and watch the hustle bustle']",TFDB
113,"['great experience here look out for their ongoing promotions to make your dining more worthwhile', ' food was amazing']",TFDB
114,['great burgers generous portion and very good pricing'],TFDB
115,"['cafe was highly reviewed so we went to try', ' burger was dry does not have much taste', ' didnt justify the price we were paying for', ' onion rings was oily and had no seasoning', ' would have paid the same price for wolf burger or shake shack']",TFDB
116,"['burger patty is dry food is not very good', ' the queue is not worth it have had better burgers for the price', ' ambience and service is not bad', ' not sure if standard drop after food long']",TFDB
117,['good service and food'],TFDB
118,"['great burgers recommended for a casual eat', ' service was friendly but a little slow considering it was very quiet in there', 'recommended for a good burger and a beer ']",TFDB
119,"['open air ambience can be hit or miss and in our case a big miss', ' it was warm and stuffy and poorly lit and much less enjoyable because were along the roadside', ' food was decent though but might not be worth it if not for the promos']",TFDB
120,"['very satisfying piece of burger at very reasonable price', ' great service as well']",TFDB
121,"['if there was an option to choose 0 stars this  place would earn it', ' restaurant is known for its supposed american la ambience  food while the ambiance could pass for that old american restaurant feel the food was on the other spectrum of ']",TFDB
122,"['great service with friendly staff', ' helped us to get comfortable seats for a pregnant woman ']",TFDB
123,"['amazing quality food', ' with affordable set prices for both lunch and dinner', ' the staff are really friendly and kind', ' the milkshake is a must try']",TFDB
124,['solid burger and beers place'],TFDB
125,"['been here many times', ' great burgers try the chocolate milkshake too  very yummy', ' it gets busy and takes a bit of time for the food to come buts quite well worth it']",TFDB
126,"['strategically located in bugis area and the seats facing the road crossing is rather interesting to sit and eat', ' wide selection of aloholic drinks and really tasty burgers', ' we trued both number one and number two burgers portion wise could ']",TFDB
127,"['we tried the number one and number two through foodpanda which were pretty decent', ' however a bit disappointed at the misleading photos on the app', ' ']",TFDB
128,['nice food'],TFDB
129,"['get ready to queue as this everpopular place serves excellent burgers sides and drinks', ' ']",TFDB
131,"['very bad experience', ' waited almost an hour for our burgers which we were not informed earlier on the long waiting time', ' had an appointment after lunch and had to rush through our meal', ' ']",TFDB
132,"['waiters are not proactive from the beginning when you are enter to this restaurant but when it comes to sales they are pushy you buy more beers they are happier', ' otherwise you are nothing ']",TFDB
133,"['good burgers and at very good price given the nice ambience', ' dinner and lunch sets are value for money', ' onion rings and truffle fries were good', ' burgers number 1  2 were good but overall the meal is way too salty so i took away one star for that', ' the saltishness of everything fries beef patty bacon was quite overwhelming']",TFDB
135,['cosy place with good burgers'],TFDB
136,"['liked it go for the number 1', ' please reserve or prepare to wait']",TFDB
138,"['we had the number 1 number 2 onion rings and classic vanilla milkshake', ' really enjoyed the burger the beef patty is juicy and moist and the bun is just so fluffy and soft', ' i like that its served with brown paper so that its easier to ']",TFDB
139,"['love the burgers', ' abit pricey though', ' will go back again']",TFDB
144,"['got there at 6pm as the place is small', ' my friend had a onetoone burger voucher from chope', ' had the number 1 burger', ' burgers are really  tastythe one for one sides and beer are great too if you order before 7pm during happy hour', ' some items not applicable', ' queue formed up and was still there when i left']",TFDB
147,"['came for their lunch special', ' its 12 with a small side but the size is much smaller than regular burger', ' if you add 3 to upsize then its becomes the regular size', ' a bit of a poorcon gimmick promo', ' the fries was quite small', ' better off ']",TFDB
150,"['goodburgers are simple yet really good', 'mehshakes are good but as expensive as burgers', 'badmake you pay for dipping sauce']",TFDB
151,['food is great we got the number one two and four burgers thanks to gina aldrick and dinesh for the good service'],TFDB
152,"['came here on a saturday night where the queue was really long', ' waited about 1h 15 mins for a table and honestly no burger is worth waiting that long for', ' ']",TFDB
153,['i usually go there and take the number 3 burger with curly fries delicious and really great price for the quality highly recommend'],TFDB
155,"['long queue on a friday evening', ' service was prompt in general', ' had burger 1', ' good but not as good as expected']",TFDB
156,"['ate here around 9pm at nightreally enjoyed the meal', ' the beef was succulent and flavorful']",TFDB
157,['tasty'],TFDB
158,"['i found out about this place in bangkok where there is also a 25 degrees outlet where i have been several time and had fantastic burgers', ' so i decided to try here in singapore ', ' well i am afraid this one is not at the same level of bkk ']",TFDB
159,"['no', '1 is great for those who like strong sharp flavours and no', '2 is better for those who prefer milder creamier flavours', ' ']",TFDB
161,"['tried number 2 and 3 burgers from menu', 'their burgers are good tasty meat with tasty buns', ' truffle fries also tasted nice', ' service is good', 'only downside is ambience constant road noise due to open restaurant setting']",TFDB
162,"['salted caramel milkshake tasted like milk blended with potato chips', ' the other milkshake we had cookies and cream and apple tart was okay not too bad but nothing to rave about', 'might be a good place for alcoholic drinks and food but opening hours was shorted due to covid']",TFDB
163,['one of the best burgs ive had  the milkshake is amazing '],TFDB
164,"['we got the number 2 and 3 burgers an order of onion rings plus a vanilla milkshake', ' really liked how the burrata and pesto complemented one another in number 2', ' 3 was alright the peppers overpowered everything else', '  loved how flaky the ']",TFDB
166,"['burgers are really worth the price', ' loved the number one burger']",TFDB
167,['great burger especially the sauce'],TFDB
168,['i wonder how long they took to cook their burgers at only 25 '],TFDB
169,"['good burgers with quality ingredients', ' no hype nor ridiculous queue like some other burger joints ', ' good stuff']",TFDB
171,['i will not call it as burger the size is more towards slider'],TFDB
173,"['a very chill place to hangout after work or after a long day', ' not forgetting they serve really decent portions of yummy burgers and fries pair it with some beer and you are good for the night ']",TFDB
174,['burgers were juicy and the onion rings are tasty'],TFDB
176,"['i havent had such a delicious and juicy burger is a while', ' great burgers at reasonable prices', ' onion rings are crispy awesome too']",TFDB
177,"['the beef burger is very savory', ' definitely recommend it']",TFDB
179,['do not go there for breakfast as they are so expensive for such a small portion i spent 108 dollars and was so not satisfied'],TFDB
183,['great food great service'],TFDB
184,['bread isnt amazing'],TFDB
185,"['food was delicious', ' nice ambience to chill with friends and grab a couple of beers']",TFDB
186,['i dont want to review this place cuz the food is soo good and there are already queues stay away yall i want this burger place to myself '],TFDB
187,['great burgers beyone burger tasted good'],TFDB
188,"['burgers were good and onion rings were crispy and not too heavy', ' staffs were attentive and friendly reminding us the 1for 1 set during happy hour which was very nice', ' for happy hour the beer is 1for1 too so its be great to reach by 7 and ']",TFDB
189,['staffs are reallyyy nicetried their turkey burger specials that is available until 30 nov and im '],TFDB
190,"['amazing service i would say the staff were very attentive and helpful in recommendations', ' the burgers were super good and there were 1 chicken wings on offer on mondays so that was quite a steal sides were also going at 1 for 1 best ']",TFDB
191,"['deletable burgers good fluffy but toasted bun', ' fresh and good ingredients', ' they even put some fresh tomatoes pickles and onions at the side in case you want to include those in your burger', ' we had the sweet potato fries and they were pretty good with a huge portion too', ' thanks']",TFDB
192,"['customer services excellant', 'food portion is alot', '  however dont recommend the milkshake', '  overall ok']",TFDB
193,"['the beef burgers were juicy and tasty thr beef patties were generous and cooked to the doneness we requested', ' the milkshakes were thick and flavourful', ' sides are good for sharing', ' service staff were attentive yet not overwhelming', ' well definitely be back']",TFDB
194,"['best cheap burger place imo', ' definitely togo']",TFDB
197,"['very much enjoyed my burger no 3and the 10 dollar brooklyn defender ipa tuesday special price', ' paid 2 bucks for additional roasted red peppers on my burger', ' they appeared to be green and lightly fried which was disappointing']",TFDB
198,"['this review is solely based on the sides and milkshakes', ' we did not try any burgers ']",TFDB
199,"['for those who enjoy finger food  burgers with cold beer to whine off a hot afternoon   evening in al fresco setting', ' not my piece of cake']",TFDB
200,"['really nice staff', ' discount of 15 for hotel g guests', ' ordered number 1 and buttermilk burger', ' both are awesome', ' flavourful patty', ' no reservations allowed', ' queue earlier for limited seats', ' at junction of road just bepow hotel g', ' highly recommended']",TFDB
202,['great quality burgers at very affordable prices'],TFDB
203,"['excellent location cafe in the heart of downtown singapore', ' its directly below the hotel g', ' it is near to rocher mrt and walking distance to bugis mrt', ' ']",TFDB
206,['excellent burgers but do check the sonoran hot dog also which is just as good but a bit trickier to find in the menu'],TFDB
207,"['bun was dry and not heated up thoroughly inside', 'however their cheeseburger made the save']",TFDB
209,"['easily accessible location great ambience with a california vibe', ' had their signature no 1 burger  beer on tap']",TFDB
211,"['decent burger with thick juicy patty', ' truffle fries and sweet potato fries is must add on', ' will visit again']",TFDB
214,['beef burger is amazing'],TFDB
216,['nice burgers n great service'],TFDB
219,"['came here in a group of 5 hello covid and the table got the 12 set meals', ' order the number one burger', ' it is really number one', ' staff were delightful and acceded to our numerous water request']",TFDB
220,"['location is easy to find as it is under a hotel and we can immediately identify the place as there is a long queue', ' overall wait is bearable', ' service is fine', ' ']",TFDB
221,['good service pretty good burgers that are little too salty tried their number 1 burger'],TFDB
222,"['superb service and even better burgers came in for their 14 burger  fries lunch combo', ' asian sized burger abit small but perfect for me juicy and cheesy and will definitely come back again', ' lettuce tomato and fresh veges are put aside', ' fries are surprisingly a lot tastier than many other bars ive been to']",TFDB
224,"['went thrice over the year pretty consistent burger', ' very fluffy toasted brioche bun thick juicy mediumrare patty', ' dont need to order sides burger alone is filling for me']",TFDB
225,"['great burgers not very cozy restaurant', ' aside from burgers the rest of the menu isnt impressive', ' ginette the neighboring restaurant is a lot better']",TFDB
226,"['one of the best burger in town', ' recommended']",TFDB
227,"['simply decorated bistro  american steak house feel to this very small joint tucked away in a corner', ' menu selection had been thankfully kept simple and limited due to obvious reasons', ' food really wasnt bad', ' nothing which you can fault', ' nothing spectacular unfortunately']",TFDB
228,['great burgers'],TFDB
230,"['clean ambience', ' burgers not spectacular but decent for the price', ' drinks expensive']",TFDB
231,"['all american ambience', ' the patty is really goodmediumwell done served with soft pen seared buns', ' the milk shake is good but a lil pricy   compared to shake shack', ' burgers are  14 do take note  creating your own will be pricier']",TFDB
234,"['14 for each set of burger tasty juicy crispy bacon melted cheese', ' made myself another customize burger with double turkey party portobello mushroom and buratta cheese ', ' perfectly fried truffle fries', ' cozy place vary cocktail menu and drinks worth the try']",TFDB
235,"['great burger', 'cool place']",TFDB
237,"['very very filling   burger  fries and onion rings were great', ' the bun was delicious', ' went there for a late lunch and stumbled upon happy hour', '  so we had 1for1 fries and 1for1 beer  butbparking at hotel g can he tricky because youll enter on the right lane']",TFDB
238,"['awesome burgers value for money', ' good mix of different fat content in beef burgers not just the standard grind', ' nicely grilled patties too']",TFDB
239,['love that place'],TFDB
240,['translated by google medium foodoriginal'],TFDB
241,"['one of the best burgers ever in singapore and underrated', ' always satisfies my cravings for meaty hearty meal even though im not a burger person', ' ']",TFDB
243,['walk ins only'],TFDB
245,"['staff were really friendly and the burgers were fantastic really tasty and opens up your appetite', ' the best thing is that they even separate your vegetables for you so you can choose whether to have them or not']",TFDB
247,['good stuff'],TFDB
249,['forget 5 guys this is much batter and cheaper'],TFDB
250,"['excellent service from the staff gorgeous and tasty milkshakes', '  their beef burgers are the main attractions']",TFDB
252,['burgers were alright service was good decor is nice'],TFDB
253,"['loved everything about the burger except for the bun', ' found it too soft and fluffy for my preference']",TFDB
254,"['translated by google you can enjoy a juicy hamburger full of gravy', ' bate will listen to the baking', ' if beer is a little more reasonable ill give you five stars', ' ']",TFDB
255,"['went in on a slow saturday afternoon at 3pm', ' was shown to a table without given any instructions that the menu was found on a qr code at the table', ' i waited 5 minutes for a menu which didnt come before i approached one of the waiters to be ']",TFDB
256,"['i discovered this place when i googled for best burgers while around bras basah complex ', ' lucky enough that its just a short walk', '  it has good reviews and decided to try for myself', '  i ordered their burger named number one filthy ']",TFDB
257,"['i am disappointed with its strawberry milkshake', ' thin diluted mainly ice bits no hint of milk or ice cream or strawberry pieces bits', ' burger was tasty if compared to b c or m but not exactly worth an hour of waiting for a table esp ']",TFDB
259,"['given its location near bugis this place is easily accessible', ' the decoy definitely has a californian vibe to it', ' really enjoy the experience of dining here', ' the burger is well put together and tastes rich yet balanced', ' the milkshake i ']",TFDB
261,['good burgers and beer'],TFDB
263,['number one was mighty tasty'],TFDB
264,"['the food tasted very good', ' i would recommend the new pepper jack burger', ' worth the trip there even though its out of the pay', ' the smoothies there are slightly above average nothing out of the ordinary but it was done really well', ' ']",TFDB
265,['enjoyed the food this place is awesome for burger lovers like me they have vegan burger which i highly recommend'],TFDB
266,"['nice vibe', ' a bit expensive but kinda look the place']",TFDB
268,['extremely juicy ordered from food panda'],TFDB
270,"['possibly the best burger place in singapore', ' unpretentious and delicious i ordered the no1 burger not a ranking while my wife had hers craft your own', 'both were good', 'bun was soft and the beef patty juicy and flavourful', ' my go to ']",TFDB
271,"['the burgers were awesome', ' too bad we couldnt try it fresh', ' well be back for more']",TFDB
274,"['fuss free takeaway order', ' called an hour ahead and food was ready for pick up when i arrived', ' excellent burgers and fries and thanks for the bottle of wine']",TFDB
275,"['burger is tasty but is very small and toppings are almost not existent', ' sides are also very small  according to the staff this was because 2 burgers  1 side deal comes with the small sized burgers ', ' this is not mentioned on the ']",TFDB
276,['very small burger almost a baby burger  '],TFDB
277,['burger is not bad but omg they are so tiny '],TFDB
278,"['we just ordered the chicken burger and the chicken strip was tiny not even covering half of the bun', ' very disappointing']",TFDB
279,"['tried the number 3 but was disappointed with the patty', ' wasnt particularly juicy and lacked any real taste']",TFDB
280,['translated by google delicious and cheaporiginal'],TFDB
282,['great beef burgers and truffle fries'],TFDB
283,"['fantastic burgers milkshakes and sides', ' price and ambience are also superb']",TFDB
284,"['nice chill ambience', ' pretty good food', 'we ordered the filthy fries 8 for sharing', ' tasted ok but the cheese felt ']",TFDB
286,['the service and burger was so good and worth the price dont get me started on their milkshakes'],TFDB
288,"['not a great burger', '  very oily and the beef is not a good quality', '  didnt taste like any hamburger ive had in la', ' location is nice']",TFDB
290,['great burgers'],TFDB
291,"['there are many restaurants which are open until late night but their kitchen usually close much earlier but this hamburger shop is different', ' you can enjoy real good quality of hamburger here even at midnight', ' it is not so big shop but ']",TFDB
293,"['went for the monday meatless promotion vegan burger', 'not the kind of vegan patty that i like', 'service was good thou', ' ']",TFDB
295,"['the whole atmosphere is ok sitting half inside hald outside', ' burger was bland and dry nothing special at all', ' fries were ok good selection of beers']",TFDB
296,"['outdoor is kinda hot but good to chill with friends and talk', '  burger is not the best i had had just ok', ' customer service good']",TFDB
299,['perfect as always highly recommend local breakfast set until 11 oclock'],TFDB
300,"['wanted to have burgers heard that this place does good burgers', ' indeed burgers were good', 'definitely must try']",TFDB
302,['great food and nice ambiance'],TFDB
303,['super friendly service and the number 1 burger tasted great i admit it was a great city escape from vietnam which might have coloured my appreciation but nice to see the world pass by with good food and good company'],TFDB
305,['great burger'],TFDB
306,"['service excellent atmosphere perfect for watching  pedestrians walk the street', '  happy to go back']",TFDB
308,['best burger in town'],TFDB
309,['the burger is excellent'],TFDB
310,['translated by google very friendly service the burger and the side dishes were great  '],TFDB
311,"['to be one of best burger in singapore this is utterly disappointing', ' not that its bad but doesnt have the american feel', ' ']",TFDB
312,['burgers'],TFDB
313,"['it was my first and will be my last in visiting this restaurant', 'it was a total disappointment with both the attitude of the staff and the quality of the food', ' ']",TFDB
314,"['translated by google i ate hamburgers a lot in japan but this may be the best ever', ' gorgonzola hamburgers are the best', ' ']",TFDB
315,"['overhyped', ' so so burgers']",TFDB
316,"['food and the ambiance was amazing', ' especially the burger', ' very juicy and perfectly cooked']",TFDB
320,"['very slow service when busy', ' minimum wait times for food 45mins to an hour']",TFDB
321,['awesome burgers and they do gluten free buns which are rare in this city'],TFDB
322,"['translated by google we had dinner because it was raining', ' a great experience great burgers and very nice staff', ' if i stayed here in singapore i would go back', ' ']",TFDB
323,['medium rare burger at its best'],TFDB
326,"['translated by google super fresh and delicious burgers', ' the side dishes also great', ' service friendly and attentive', ' modern and individual furnishings', ' ']",TFDB
330,"['translated by google the site and the food are very good but it is expensive', ' correct staff ']",TFDB
331,['nice food'],TFDB
332,"['translated by google if you go burger just go 37 oclock is a happy hour so french fries are free', 'the basics are fulfilling  burger no', ' 1  3 enough meat grilling is well done ']",TFDB
337,"['the burger i had number two was big', 'first time eating here', 'i normally eat at ginetburger was big to me but delicious']",TFDB
338,['translated by google the burger is really deliciousoriginal '],TFDB
339,['translated by google the burgers here are really deliciousoriginal '],TFDB
340,"['weve done in the original on hollywood boulevard zoo we had to give this one a try', ' service was friendly and personable though with only one chef cooking the foods arrival was a little slow', ' you must try the number 1 burger', ' just as amazing as the one in l', 'a', ' highly recommended']",TFDB
342,"['the best tuna burger i have ever had', ' love the place']",TFDB
343,"['great burgers affordable price', ' friendly staff', ' highly recommended']",TFDB
346,"['average burger', ' buns were terrible']",TFDB
347,"['i enjoyed our visit to this outlet for lunch', ' the waiter made a point of getting to know my youngest child and ensured we were satisfied  and our specific order was met', ' ']",TFDB
349,"['enjoyed the beef burger', ' patty very tasty']",TFDB
352,['amazing veggie burger and quesadillas that vegetarians must try'],TFDB
353,['great service nice relaxed atmosphere food tasted great drinks were a little expensive'],TFDB
355,"['worst burger smells horrible dripping with oil anf very little fries', ' cost 13 for tiny cheesecake', ' i want my money back disgraceful']",TFDB
357,['affordable and pretty tasty burgers especially if you can get in during their set menus hours or oneforone sidesmilkshakes deals'],TFDB
359,"['affordable burgers that are juicy and delivered with quality service', ' milkshakes are not as thick as id like them and the fries are slightly underwhelming but id definitely come back for the burgers']",TFDB
360,['nice burger good vibes and nice beer'],TFDB
362,"['casual burger restaurant  great to people watch', ' staff needs more training', ' at least to inform guest that the happy hour is almost over i sat for a good 15 mins while waiting for my friend to arrive and at 7pm found out that the happy ']",TFDB
363,"['my first visit here ive been to the outlet  pullman g bangkok thailand', 'the number one burger is amazingcreamy crescenza cheese succulent beef patty crispy strips of bacon in a tasty bun', 'a dinner set of a la carte burger n fries is 18 ', 'the fries were normal thoughbut its a satisfying meal for the price']",TFDB
366,"['great burgers at extremely reasonable price', ' awesome monday happy hour promotion for 1 for 1 beer on tap and sides too please try their new lobster bun you wouldnt be disappointed  ']",TFDB
368,['not too many seats but a really nice place with good burgers'],TFDB
371,"['the 8 lunchtime special cheeseburger was good a manageable size that i could actually finish and was not overly greasy or heavy', ' the french fries however were very dry and crispy and not pleasant', ' i had seen some people with thick hand ']",TFDB
