,Unnamed: 0,Review,Date,Stars,Restaurant,feature_descriptors
17,17,"solid burger, chicken wings, milk shake and onion rings.
go for rare doneness for the burger as it's much more juicier.
the service here is excellent, the staff would actually ask for your honest …",a month ago, 5 stars ,TFDB,"{'burger': [""'s"", 'much', 'more'], 'chicken': [], 'wings': [], 'milk': [], 'shake': [], 'onion': [], 'rings': ['go', 'rare'], 'doneness': [], 'juicier': [], 'service': ['here', 'excellent'], 'staff': ['actually', 'ask', 'honest']}"
18,18,"Burger is great! Ambience is great!

Took the chope deal and had a burger, it was quite large and really filling so I …",a month ago, 4 stars ,TFDB,"{'Ambience': ['great', 'Took'], 'chope': [], 'deal': ['had'], 'burger': ['quite', 'large', 'really', 'filling', 'so']}"
19,19,"The burgers here are sublime (I had the ""Number Three""). The beef patty melts in your mouth, and the brioche bun is slightly crispy on the part touching the patty, which adds a delectable texture to the burger as a whole.",a month ago, 5 stars ,TFDB,"{'burgers': ['here', 'sublime', 'had'], 'Number': [], 'beef': ['patty'], 'melts': [], 'mouth': [], 'brioche': [], 'bun': ['slightly', 'crispy'], 'part': ['touching'], 'patty': ['adds', 'delectable'], 'texture': [], 'burger': [], 'whole': []}"
20,20,Exceed my expectation.  Number 1 burger,a month ago, 4 stars ,TFDB,"{'expectation': [], 'Number': [], 'burger': []}"
21,21,First impression is the queue - the queue is quite long during even a weekday for dinner. Around 30 mins waiting for us around 730 pm. They don’t accept reservation. …,a month ago, 5 stars ,TFDB,"{'impression': [], 'queue': ['quite', 'long', 'even'], 'weekday': [], 'dinner': ['Around'], 'mins': ['waiting'], 'pm': ['accept'], 'reservation': []}"
23,23,"The burger was excellently cooked. I ordered medium, and it was still pretty juicy. Fresh lettuce on the side you can add yourself, and the crunchiness was a delight to every bite. There's a craft-your-own burger on the menu which allows …",a month ago, 5 stars ,TFDB,"{'burger': [], 'medium': ['was', 'still', 'pretty', 'juicy', 'Fresh'], 'lettuce': [], 'side': ['add'], 'crunchiness': ['was'], 'delight': [], 'bite': [], 'craft': ['own'], 'menu': ['allows']}"
24,24,Lovely burger!,a month ago, 5 stars ,TFDB,{'burger': []}
25,25,The sides like fried broccoli is unusual and onion rings are nicer than fast food chain as they aare made from sliced onions. The burgers were major letdown- buttered chicken wasn’t chicken thigh as stated in menu which I’m ok but the end …,a month ago, 2 stars ,TFDB,"{'sides': ['fried'], 'broccoli': ['unusual'], 'onion': [], 'rings': ['are', 'nicer', 'fast'], 'food': [], 'chain': ['aare', 'made', 'sliced'], 'onions': [], 'burgers': ['major', 'letdown-', 'buttered'], 'chicken': [], 'thigh': ['stated'], 'menu': ['’m', 'ok'], 'end': []}"
26,26,"Yummy and juicy burger made to perfection. Absolutely worth the price. Thee beef patty and smooth and not greasy, no tough tendons too. Kids love it. Friendly customer service",a month ago, 5 stars ,TFDB,"{'burger': ['made'], 'perfection': ['Absolutely', 'worth'], 'price': [], 'beef': ['patty', 'smooth'], 'greasy': ['tough'], 'tendons': ['too'], 'Kids': ['love', 'Friendly'], 'customer': [], 'service': []}"
27,27,Friendly staff and delicious burger.,a month ago, 5 stars ,TFDB,"{'staff': ['delicious'], 'burger': []}"
28,28,Great place for food.. Burger w friends and family,a month ago, 5 stars ,TFDB,"{'place': [], 'food': [], 'friends': [], 'family': []}"
29,29,Amazing burgers. Strongly recommend the number one burger! Bought the signature burger and milkshake deal with Kris+ and it makes this even more worth it. Will definitely visit this place again to try the other burger options,a month ago, 5 stars ,TFDB,"{'burgers': ['Strongly', 'recommend'], 'number': [], 'burger': [], 'signature': [], 'deal': ['makes', 'even', 'more', 'worth', 'definitely', 'visit'], 'place': ['again', 'try', 'other'], 'options': []}"
30,30,"Burger, fries and milkshakes is the order here",a month ago, 5 stars ,TFDB,"{'fries': [], 'milkshakes': [], 'order': ['here']}"
31,31,Love the burgers. Service by Gina was great,2 months ago, 5 stars ,TFDB,"{'burgers': [], 'Service': ['great']}"
32,32,Good burgers for the price! Loved the “Number One”,3 months ago, 4 stars ,TFDB,"{'burgers': [], 'price': ['Loved']}"
33,33,"Friendly staff, always willing to top up our drinks without us asking",3 months ago, 5 stars ,TFDB,"{'staff': ['always', 'willing', 'top'], 'drinks': ['asking']}"
34,34,"10/10
Would come back for the burgers any day
Staff was great and service was fast",3 months ago, 5 stars ,TFDB,"{'burgers': [], 'day': [], 'Staff': ['great'], 'service': ['was', 'fast']}"
35,35,"It's OK, nothing more, nothing less. It started very strange when I ordered a pint of beer and was asked whether I want 200ml or 500ml (technically neither but nevermind), then I got my beer and a snack which essentially was a slice of a …",3 months ago, 3 stars ,TFDB,"{'pint': [], 'beer': [], '500ml': ['technically', 'nevermind', 'then', 'got'], 'snack': ['essentially', 'was'], 'slice': []}"
37,37,"Nice juicy burger! Bread is soft and patty is juicy and tasty..

Garlic Chicken wings is very delicious. With fries at the bottom.  Very nice snack
Recommended",3 months ago, 5 stars ,TFDB,"{'burger': ['soft', 'patty', 'is', 'juicy', 'tasty'], 'wings': ['very', 'delicious'], 'fries': [], 'bottom': ['Very', 'nice'], 'snack': ['Recommended']}"
38,38,Very reasonably priced burgers. Filling and tasty. Meat was cooked to the right temperature and was fairly juicy but it just didn't taste like it was seasoned right. Wouldn't mind coming back to try other burgers again though just for comparison.,3 months ago, 4 stars ,TFDB,"{'burgers': ['again', 'just'], 'Filling': [], 'tasty': [], 'Meat': ['cooked', 'right'], 'temperature': ['was', 'fairly', 'juicy', 'just', 'taste', 'seasoned', 'right', 'mind', 'coming', 'back', 'try', 'other'], 'comparison': []}"
39,39,Juicy burger patties topped off with cheese and served between 2 fluffy brioche buns,3 months ago, 5 stars ,TFDB,"{'burger': [], 'patties': ['topped'], 'cheese': ['served', 'fluffy'], 'brioche': [], 'buns': []}"
40,40,"Beautiful burger bar, amazingly helpful staff
The decor and ambience is so welcoming. …",3 months ago, 5 stars ,TFDB,"{'burger': [], 'bar': ['amazingly', 'helpful'], 'staff': [], 'decor': [], 'ambience': ['so', 'welcoming']}"
41,41,Good Fries,3 months ago, 4 stars ,TFDB,{'Fries': []}
42,42,"The most complete burger I have eaten so far.
The Number One is not a purist's burger as it is chock full of ingredients. But the combination is so well done, it puts the burger at a whole other level. Add some curly fries and you get a perfect meal.",3 months ago, 5 stars ,TFDB,"{'burger': ['whole', 'other'], 'purist': [], 'chock': ['full'], 'ingredients': [], 'combination': ['so', 'well', 'done', 'puts'], 'level': ['Add', 'curly'], 'fries': ['get', 'perfect'], 'meal': []}"
43,43,Very greasy breakfast…with a bitter coffee,3 months ago, 2 stars ,TFDB,"{'greasy': [], 'breakfast': ['bitter'], 'coffee': []}"
44,44,"Burgers were excellent - Juicy Lucy, Buttermilk Fried Chicken Burger and Number Two with Onion Rings, Sweet Potato Fries and Coleslaw. Coleslaw was not overly creamy, it’s light and compliment the burgers well. Because, it’s a take away, …",4 months ago, 5 stars ,TFDB,"{'Burgers': ['excellent', 'overly', 'creamy', '’s', 'light', 'compliment'], 'burgers': ['well', '’s'], 'take': ['away']}"
45,45,The burgers are not bad. However disappointed with the salad due to take away. You don't enjoy what a salad is supposed to be when the dressing are separated for takeaway.,4 months ago, 4 stars ,TFDB,"{'burgers': ['bad', 'However', 'disappointed'], 'salad': ['supposed', 'be', 'when'], 'dressing': ['separated', 'takeaway']}"
46,46,"(Translated by Google) 4Star
<Pros>
Juicy thick beef pate …",4 months ago, 4 stars ,TFDB,"{'4Star': ['thick'], 'beef': [], 'pate': []}"
48,48,Very unfriendly.  Service slow. Food was ordinary.  McDonald's standard but pricier. Coleslaw was off totally.  Mayo used was probably too old and curdled. Tasted weird. Definitely need to look into it! $6 a portion for this Coleslaw is also a rip-off!,4 months ago, 1 star ,TFDB,"{'Service': ['slow'], 'Food': ['ordinary'], 'standard': ['pricier', 'totally', 'used', 'probably', 'too', 'old', 'curdled', 'Tasted'], 'weird': ['Definitely', 'need', 'look'], 'portion': ['also'], 'rip': [], 'off': []}"
49,49,Don't order delivery or takeaway from this place. They don't know how to manage their order systems properly to get you your order on time.,4 months ago, 1 star ,TFDB,"{'delivery': ['takeaway'], 'place': ['know', 'how', 'manage'], 'order': [], 'systems': ['properly', 'get'], 'time': []}"
50,50,"The food is very good, but the management is too sneaky for their own good.

The menu lists a Family Box that comprises 4 burgers and 2 sides. So you would …",4 months ago, 3 stars ,TFDB,"{'food': ['very', 'good'], 'management': ['is', 'too', 'sneaky', 'own'], 'good': [], 'menu': ['lists', 'comprises'], 'burgers': [], 'sides': ['So']}"
51,51,Happy cause I found a place that can rival three buns (& at more reasonable prices!) We had no.1 and no.2 and the highlight is definitely their patty - had it medium and it was so juicy. Flavours are strong yet well balanced. Onion rings tad foo oily so will skip that next time.,4 months ago, 5 stars ,TFDB,"{'cause': ['found'], 'place': ['rival'], 'buns': ['more', 'reasonable'], 'prices': ['had'], 'no.1': [], 'highlight': ['is', 'definitely'], 'patty': ['had', 'medium', 'so', 'juicy'], 'Flavours': ['strong', 'yet', 'well', 'balanced'], 'Onion': [], 'rings': [], 'tad': ['foo', 'oily', 'skip', 'next'], 'time': []}"
52,52,"Pricy, but delicious, well made, and they aren't afraid of medium rare beef.",5 months ago, 5 stars ,TFDB,"{'Pricy': ['delicious', 'well', 'made', 'are', 'afraid', 'medium', 'rare'], 'beef': []}"
53,53,burgers were great! loved the number 1! really one of the best burgers i had!,5 months ago, 5 stars ,TFDB,"{'burgers': ['had'], 'number': ['really', 'best']}"
54,54,"Very nice burgers at value for money pricing - wish I have known this place much earlier! Tried both their No 1 and No 2, both are yummy. Asked for medium doneness for both beef patties and am really pleased that they nailed it beautifully …",5 months ago, 5 stars ,TFDB,"{'burgers': [], 'value': [], 'money': [], 'pricing': ['wish', 'known'], 'place': ['much', 'earlier', 'Tried', 'yummy', 'Asked', 'medium'], 'doneness': [], 'beef': [], 'patties': ['am', 'really', 'pleased', 'nailed', 'beautifully']}"
56,56,One of my GO TO that i think is way under-rated and beats Hans Im Gluck and Omakase. …,5 months ago, 5 stars ,TFDB,{}
57,57,"Amazing service from Gina. Well informed about the menu, makes excellent recommendations and just incredibly polite and nice. Possibly the best service I’ve experienced in Singapore. She went out of her way to get us a table for three, walk-in. Just amazing. Burgers are great, and fries are awesome!",5 months ago, 5 stars ,TFDB,"{'service': ['experienced', 'went'], 'menu': ['makes', 'excellent'], 'recommendations': ['just', 'incredibly', 'polite', 'nice', 'Possibly', 'best'], 'way': ['get'], 'table': [], 'walk': [], 'in': ['Just', 'amazing'], 'Burgers': ['great'], 'fries': ['are', 'awesome']}"
58,58,Possibly the best burger I've had in town for awhile,5 months ago, 5 stars ,TFDB,"{'burger': ['had'], 'town': ['awhile']}"
59,59,Its quite good and decent. The place is also rather comfortable too!,5 months ago, 4 stars ,TFDB,"{'place': ['also', 'rather', 'comfortable', 'too']}"
60,60,"Love the burgers here! Its as good as omakase burger! Ordered both number 1 and number 2, i like the meat as it is juicy and their onion rings are really nice.
My favorite would be the number 2 as the tomato gives it extra omph juicy factor …",5 months ago, 5 stars ,TFDB,"{'burgers': ['here', 'as', 'good'], 'omakase': [], 'burger': ['Ordered'], 'number': [], 'meat': ['is', 'juicy'], 'onion': [], 'rings': ['are', 'really', 'nice', 'favorite', 'be'], 'tomato': ['gives', 'extra', 'omph', 'juicy'], 'factor': []}"
61,61,"Juiciest burger ever! Great flavors too! Me and my friend got No.1 & No.2. She loved the onion rings! Must try! The place is tad hot, wished it could be a little breezy. But its a great place to sit and have a burger, cold beer and people watching on a sundays kinda situation. You're welcome 😁",5 months ago, 5 stars ,TFDB,"{'burger': ['cold'], 'flavors': ['too'], 'friend': ['got'], 'No.1': [], 'No.2': ['loved'], 'onion': [], 'rings': ['try'], 'place': ['sit', 'have'], 'tad': ['hot', 'wished', 'be', 'little', 'breezy', 'great'], 'beer': [], 'people': ['watching'], 'sundays': [], 'situation': [""'re"", 'welcome'], '😁': []}"
63,63,Juicy burgers and milkshakes are fantastic. Fries could be lesser saltier though.,5 months ago, 5 stars ,TFDB,"{'burgers': [], 'milkshakes': ['fantastic'], 'Fries': ['be', 'lesser'], 'saltier': ['though']}"
64,64,Amazing place with good food and worth the waiting time. If you go here please get the burgers and sides and milkshakes!! The beef burgers' patties are even cooked to your choice of doneness:)The sides are slightly small for price but still tasty. Staff even gave a free desert for birthday girl!,5 months ago, 5 stars ,TFDB,"{'place': ['good'], 'food': ['worth'], 'waiting': [], 'time': ['go', 'here', 'get'], 'burgers': [], 'sides': ['are', 'slightly', 'small'], 'milkshakes': [], 'beef': [], 'patties': ['even', 'cooked'], 'choice': [], 'price': ['still', 'tasty'], 'Staff': ['even', 'gave', 'free'], 'desert': [], 'birthday': [], 'girl': []}"
65,65,"Excellent, reasonably priced burgers!

I tried the No. 1, No. 2, and the Buttermilk fried chicken burger. All the …",5 months ago, 5 stars ,TFDB,"{'burgers': ['tried'], 'No': [], '.': [], 'Buttermilk': ['fried'], 'chicken': [], 'burger': []}"
67,67,"Good chill out place with decent burgers! Not all burgers are to my liking! Overall good experience, good service.",6 months ago, 4 stars ,TFDB,"{'place': ['decent'], 'burgers': [], 'liking': ['Overall', 'good'], 'experience': ['good'], 'service': []}"
68,68,Nice burger place serving vegan/vegetarian options. The black (?!) Beyond burger and veggie burgers are delicious. Beyond burger is 100% vegan and comes with vegan cheese. Veggie burger tastes a little bit plain itself (in my opinion) but …,6 months ago, 4 stars ,TFDB,"{'burger': ['tastes', 'little'], 'place': ['serving'], 'vegan': [], 'options': ['black'], 'veggie': [], 'burgers': ['delicious'], '%': [], 'cheese': [], 'Veggie': [], 'bit': ['plain'], 'opinion': []}"
71,71,"Good, very dining good expensive.
Service is good too 😃😃😃",6 months ago, 5 stars ,TFDB,"{'Service': ['good', 'too']}"
72,72,"A chill out place facing the cross junction. Diagonal facing NAFA toastbox.
Having the 1-for-1 beer. Apparently only the 250ml tapped beer. It need to come along with sides. The sides are limited to fries.
Overall its a just an average experience.",6 months ago, 3 stars ,TFDB,"{'chill': [], 'place': ['facing'], 'cross': [], 'junction': ['Diagonal', 'facing'], 'toastbox': ['Having'], 'beer': ['need', 'come'], '250ml': ['tapped'], 'sides': ['limited'], 'fries': ['Overall', 'just', 'average'], 'experience': []}"
73,73,"I ordered some food from here a few days ago. Wasn’t very impressed.

First off, the 25 degrees salad was v depressing - the ‘grilled turkey’ was …",6 months ago, 3 stars ,TFDB,"{'food': ['here', 'few'], 'days': ['ago', 'very', 'impressed', 'First', 'off'], 'degrees': [], 'salad': ['depressing', 'grilled'], 'turkey': ['was']}"
75,75,Nice burger,7 months ago, 4 stars ,TFDB,{'burger': []}
76,76,"burgers are good ! prices ok ok for burgers average about $14 +

drinks are  tag expensive in my opinion , a pint of Asahi Black for $19 ! mmm... …",7 months ago, 4 stars ,TFDB,"{'burgers': ['average'], 'prices': [], 'drinks': [], 'tag': ['expensive'], 'opinion': [], 'pint': []}"
79,79,Quite high price for the burger with no sides,7 months ago, 3 stars ,TFDB,"{'price': [], 'burger': [], 'sides': []}"
80,80,The burger is really really good and tasty. The patty is the key of the delicious burger. However the side dish is ok for me. Not too good not too bad. I will come again for the burger.,7 months ago, 5 stars ,TFDB,"{'burger': [], 'patty': [], 'key': ['delicious'], 'side': [], 'dish': ['ok', 'too', 'good', 'too', 'bad', 'come', 'again']}"
82,82,Really great burgers to go with.,7 months ago, 4 stars ,TFDB,{'burgers': ['go']}
83,83,Burger #1,7 months ago, 5 stars ,TFDB,{}
84,84,great burger but inhonest service,7 months ago, 4 stars ,TFDB,"{'burger': ['inhonest'], 'service': []}"
86,86,Cheap local breakfast option,7 months ago, 4 stars ,TFDB,"{'breakfast': [], 'option': []}"
87,87,"Number one Burger is good. Probably one of the top in SG. The avocado scrambled eggs is also great! Have to queue up for quite awhile on a saturday night - about 25 mins. They don't do reservations. Waiter is friendly. The female waitress seems to be a in a rush to walk away while taking our order, perhaps due to understaffed?",7 months ago, 4 stars ,TFDB,"{'Number': ['good', 'Probably'], 'top': [], 'avocado': ['scrambled'], 'eggs': ['also', 'great', 'Have', 'queue', 'quite', 'awhile', 'saturday'], 'night': ['about'], 'mins': ['do'], 'reservations': [], 'Waiter': ['friendly', 'female'], 'waitress': ['seems', 'be'], 'rush': ['walk', 'away', 'taking'], 'order': ['perhaps', 'due', 'understaffed']}"
88,88,"Burgers are awesome! Thought they were kidding when were asked for the done-ness of the patty. Really well grilled and cheese is beautifully melted. There are a few sides available as well. Super value for money, especially if u take up the happy hours meals. Loved it!",7 months ago, 5 stars ,TFDB,"{'Burgers': ['awesome'], 'Thought': ['kidding', 'when', 'asked', 'done'], 'ness': [], 'patty': ['Really', 'well', 'grilled'], 'cheese': ['beautifully', 'melted', 'few'], 'sides': ['available', 'as', 'well', 'Super'], 'value': [], 'money': ['especially', 'take', 'happy'], 'hours': [], 'meals': ['Loved']}"
89,89,"Cheap local breakfast. Nice ambience, good place to watch the world walking by",8 months ago, 4 stars ,TFDB,"{'breakfast': ['Nice'], 'ambience': ['good'], 'place': ['watch'], 'world': ['walking']}"
90,90,"The buns are really fluffy n crispy! The regular serving is 120g meat patty. Personally the upsize to 200g will suit an adult more. Overall, very good tasty burgers.",8 months ago, 5 stars ,TFDB,"{'buns': ['really', 'fluffy', 'crispy', 'regular'], 'serving': [], 'meat': [], 'patty': ['Personally'], 'upsize': [], 'g': ['suit'], 'adult': ['more', 'Overall', 'very', 'good', 'tasty'], 'burgers': []}"
91,91,Good flavour however the burger patty tasted with ‘rough’ and a little dry despite asking for the patty to be done Medium. The quality of the beef grind might not have been good. …,8 months ago, 4 stars ,TFDB,"{'flavour': ['however'], 'burger': [], 'patty': ['done'], 'quality': [], 'beef': [], 'grind': ['been', 'good']}"
92,92,Best burger I’ve had in Singapore.,8 months ago, 5 stars ,TFDB,{'burger': ['had']}
94,94,Great burgers!,8 months ago, 5 stars ,TFDB,{'burgers': []}
95,95,Cocktails and truffle fries are delicious,8 months ago, 5 stars ,TFDB,"{'Cocktails': ['truffle'], 'fries': ['delicious']}"
98,98,"Ordered a Number One Burger + Vanilla Milkshake + Curly fries. Food was great, will definately visit again for Number Two and Three burgers. Staffs are attentive for orders and request.",8 months ago, 4 stars ,TFDB,"{'fries': [], 'Food': ['great', 'definately', 'visit', 'again'], 'burgers': [], 'Staffs': ['attentive'], 'orders': [], 'request': []}"
99,99,"the place is very open, aircon not very strong but still ok. the service was good, they prepared the wrong order n gave us the extra burger lol. waiting time around 25mins. truffle fries n burger no.2 was good!",8 months ago, 5 stars ,TFDB,"{'place': ['very', 'open', 'aircon', 'very', 'strong', 'still', 'ok'], 'service': ['good', 'prepared', 'wrong'], 'order': ['gave', 'extra'], 'burger': ['good'], 'lol': ['waiting'], 'time': ['truffle'], 'fries': []}"
100,100,Manger was rude and unattentive. We ordered a takeaway and it was left on the counter unattended till we asked.,8 months ago, 1 star ,TFDB,"{'takeaway': ['left'], 'counter': ['unattended', 'asked']}"
101,101,"Excellent and affordable burger place!

Remember to try the chicken wings too. …",8 months ago, 4 stars ,TFDB,"{'burger': [], 'place': ['Remember', 'try'], 'chicken': [], 'wings': ['too']}"
102,102,"They have a good variety of burgers that are all juicy-licious. We try a different burger each time we're here and I haven't been disappointed. This round, we had their Numbers 1,2,4 & Buttermilk fried chicken burgers, shared curly fries & onion  rings, plus beers to wash it all down. Luv this burger joint!",8 months ago, 4 stars ,TFDB,"{'variety': [], 'burgers': ['shared', 'curly'], 'burger': ['joint'], 'time': [""'re"", 'here', 'disappointed'], 'round': ['had'], 'Numbers': ['fried'], 'chicken': [], 'fries': [], 'onion': [], 'rings': [], 'beers': ['wash']}"
103,103,"Server was very friendly and offered to refill my coffee and iced water, food was nice.",8 months ago, 5 stars ,TFDB,"{'coffee': ['iced'], 'water': [], 'food': ['was', 'nice']}"
107,107,"Delightful Western breakfast: eggs, hash browns, bacon, and coffee. The eggs were simply outstanding.",8 months ago, 5 stars ,TFDB,"{'breakfast': [], 'eggs': ['simply', 'outstanding'], 'hash': [], 'browns': [], 'bacon': [], 'coffee': []}"
108,108,Good location,8 months ago, 5 stars ,TFDB,{'location': []}
109,109,Very juicy burgers.,8 months ago, 5 stars ,TFDB,{'burgers': []}
110,110,"Nice American style burger joint with huge burgers and shakes. Slightly pricey but pretty good quality, and did i mention the burgers are huge?",9 months ago, 4 stars ,TFDB,"{'style': [], 'burger': ['joint', 'huge'], 'burgers': ['huge'], 'shakes': ['Slightly', 'pricey', 'pretty', 'good'], 'quality': ['mention']}"
111,111,Good juicy burgers...hats off. Curly and truffle fries were good. Milk shakes are okay (still prefer the Jerry's one over them). Nice place to sit and watch the hustle bustle.,9 months ago, 4 stars ,TFDB,"{'burgers': ['hats', 'truffle'], 'fries': ['good'], 'Milk': [], 'shakes': ['okay', 'still', 'prefer', 'Nice'], 'place': ['sit', 'watch', 'hustle'], 'bustle': []}"
113,113,Great experience here! Look out for their ongoing promotions to make your dining more worthwhile. Food was amazing!,9 months ago, 5 stars ,TFDB,"{'experience': ['here', 'Look', 'ongoing'], 'promotions': ['make'], 'dining': ['more', 'worthwhile'], 'Food': ['amazing']}"
114,114,"Great burgers, generous portion and very good pricing.",9 months ago, 5 stars ,TFDB,"{'burgers': ['generous'], 'portion': ['very', 'good'], 'pricing': []}"
115,115,"Cafe was highly reviewed so we went to try. Burger was dry, does not have much taste. Didnt justify the price we were paying for. Onion rings was oily and had no seasoning. Would have paid the same price for wolf burger or shake shack.",9 months ago, 1 star ,TFDB,"{'taste': ['justify'], 'price': [], 'Onion': [], 'rings': ['oily', 'had'], 'seasoning': ['paid', 'same'], 'wolf': [], 'burger': ['shake'], 'shack': []}"
116,116,"Burger patty is dry, food is not very good. The queue is not worth it, have had better burgers for the price. Ambience and service is not bad. Not sure if standard drop after food long.",9 months ago, 1 star ,TFDB,"{'patty': ['dry'], 'food': ['long'], 'queue': ['worth', 'had', 'better'], 'burgers': [], 'price': [], 'Ambience': [], 'service': ['bad', 'sure', 'standard'], 'drop': []}"
117,117,Good service and food.,9 months ago, 5 stars ,TFDB,"{'service': [], 'food': []}"
118,118,"Great burgers, recommended for a casual eat. Service was friendly but a little slow considering it was very quiet in there.
Recommended for a good burger and a beer 🍻",9 months ago, 4 stars ,TFDB,"{'burgers': ['recommended', 'casual'], 'eat': [], 'Service': ['friendly', 'little', 'slow', 'considering', 'very', 'quiet', 'there', 'Recommended', 'good'], 'burger': [], 'beer': ['🍻']}"
119,119,"Open air ambience can be hit or miss, and in our case, a big miss. It was warm and stuffy and poorly lit, and much less enjoyable because we're along the roadside. Food was decent though, but might not be worth it if not for the promos",9 months ago, 3 stars ,TFDB,"{'air': [], 'ambience': ['hit', 'miss'], 'case': ['big'], 'miss': ['warm', 'stuffy', 'poorly', 'lit', 'much', 'less', 'enjoyable', ""'re""], 'roadside': [], 'Food': ['decent', 'though', 'be', 'worth'], 'promos': []}"
120,120,Very satisfying piece of burger at very reasonable price. Great service as well.,9 months ago, 5 stars ,TFDB,"{'piece': [], 'burger': ['very', 'reasonable'], 'price': ['Great'], 'service': ['as', 'well']}"
121,121,"If there was an option to choose 0 stars, this  place would earn it. Restaurant is known for its supposed american LA ambience & food while the ambiance could pass for that old american restaurant feel, the food was on the other spectrum of …",9 months ago, 1 star ,TFDB,"{'option': ['choose'], 'stars': [], 'place': ['earn'], 'Restaurant': ['known', 'supposed', 'american'], 'ambience': [], 'food': ['other'], 'ambiance': ['pass', 'old', 'american'], 'restaurant': [], 'feel': [], 'spectrum': []}"
122,122,Great service with friendly staff. Helped us to get comfortable seats for a pregnant woman! …,9 months ago, 5 stars ,TFDB,"{'service': ['friendly'], 'staff': ['Helped', 'get', 'comfortable'], 'seats': ['pregnant'], 'woman': []}"
